ITEM_20150317_000001	
ITEM_20150317_000084	검의 대가들도 초보티를 벗고 처음 이 검을 잡았을 때의 감격을 이야기하곤 합니다. 	
ITEM_20150317_000085	그리타스	
ITEM_20150317_000086	뛰어난 모험가들이 사용하던 검입니다. 역설적인 이유로 강한 몬스터들의 몸에 있는 경우가 많습니다. 이 검을 얻는 사람은 자기도 모르게 전주인의 복수를 하는 셈입니다.  	
ITEM_20150317_000087	스파타	
ITEM_20150317_000088	검날의 길이를 늘려 글라디우스의 부족한 점을 보와한 검입니다. 	
ITEM_20150317_000089	아라스의 폴쳔	
ITEM_20150317_000090	폴쳔의 성능을 체험할 기회를 드립니다.	
ITEM_20150317_000091	스미스 소드	
ITEM_20150317_000092	 - 공격시 2% 확률로 +600% 피해	
ITEM_20150317_000093	가끔 대장장이의 웅혼한 혼을 보여주기도 합니다.	
ITEM_20150317_000094	클라비스 소드	
ITEM_20150317_000095	성능에 비해서는 잘 팔리는 편입니다.	
ITEM_20150317_000096	디오 소드	
ITEM_20150317_000097	트레시 소드	
ITEM_20150317_000098	세스타스 소드	
ITEM_20150317_000099	드라트 소드	
ITEM_20150317_000100	아스턴 소드	
ITEM_20150317_000101	데비 소드	
ITEM_20150317_000102	프리마 소드	
ITEM_20150317_000103	트리니티 소드	
ITEM_20150317_000104	한 종류의 폴쳔으로 만족하지 못한다면 그 적절한 대안입니다. 물론 제조비용이 따릅니다.	
ITEM_20150317_000105	듀란달	
ITEM_20150317_000106	많은 이들이 스스로 훌륭하다고 생각하는 검에 이 이름을 붙이려고 합니다. 고대에 선택받은 여신의 용사가 사용했다던 검의 이름입니다.	
ITEM_20150317_000107	벨니웁	
ITEM_20150317_000108	심지어 어떤 사람들은 이 검이 너무 잔혹한 무기라고까지 말합니다.	
ITEM_20150317_000109	포르티스	
ITEM_20150317_000110	식물재앙 초기에는 인기가 없었으나 몬스터 가운데 강한 방어력을 지닌 것들이 발견됨에 따라 재평가되고 있습니다.	
ITEM_20150317_000111	채퍼리션 커터	
ITEM_20150317_000112	일설에 따르면 마족들간의 분쟁에도 이 검이 사용된다고 합니다.	
ITEM_20150317_000113	데스위버 커터	
ITEM_20150317_000114	이제부터는 당신이 죽음을 자아내는 자가 되어야 합니다.	
ITEM_20150317_000115	채퍼리션 소드	
ITEM_20150317_000116	마족간에 분쟁이 존재한다는 간접 증거이기도 합니다.	
ITEM_20150317_000117	벤드라스 소드	
ITEM_20150317_000118	여신의 권능이 일부 깃든 이 검은 고대로부터 많은 악을 처단했습니다.	
ITEM_20150317_000119	일리지아	
ITEM_20150317_000120	적의 생명과 주인의 재정에 심각한 위해를 가합니다. 물론 대부분의 검사들은 전자에 주목하기 때문에 후자는 무시합니다.	
ITEM_20150317_000121	삭제예정	
ITEM_20150317_000122	양손검[베기]	
ITEM_20150317_000123	던켈 바스타드 소드	
ITEM_20150317_000124	어떤 장인들과 검사들은 혼합양식의 양손 기본검이라 부릅니다. 자기 위안은 중요하니까 말입니다.	
ITEM_20150317_000125	플랑베르쥬	
ITEM_20150317_000126	양손검에 익숙하다면 물결치는 검날은 큰 피해를 입힐 수 있는 구조입니다.	
ITEM_20150317_000127	노다치	
ITEM_20150317_000128	적당한 길의 노다치는 베는 위력을 증강시키고 적과의 간격을 지배합니다.	
ITEM_20150317_000129	클레이모어	
ITEM_20150317_000130	우리 왕국의 클레이모어는 무게와 위력을 중시하여 만들어집니다.	
ITEM_20150317_000131	콜로서스	
ITEM_20150317_000132	부채꼴 모양의 검미는 위력을 증대시키고 다양한 기술에 응용될 가능성이 있습니다.	
ITEM_20150317_000133	칼리번	
ITEM_20150317_000134	비교적 지위 높은 검사들이 애용하는 검입니다.	
ITEM_20150317_000135	콰다라	
ITEM_20150317_000136	얼핏 보이는 외양과 달리 양날검이며, 실전성을 추구하는 검사들의 애용합니다.	
ITEM_20150317_000137	라이트 클레이모어	
ITEM_20150317_000138	검미의 구조를 이용해 적을 찍는 공격이 가능하다고 합니다.	
ITEM_20150317_000139	조악한 콜로서스	
ITEM_20150317_000140	일룬	
ITEM_20150317_000141	위대한 루클리스도 초기에는 이 검을 애용했다고 합니다.	
ITEM_20150317_000142	연습용 바스타드 소드	
ITEM_20150317_000143	바스타드 소드	
ITEM_20150317_000144	헤비 플랑베르쥬	
ITEM_20150317_000145	헤비 노다치	
ITEM_20150317_000146	헤비 클레이모어	
ITEM_20150317_000147	던켈 노다치	
ITEM_20150317_000148	던켈 콰다라	
ITEM_20150317_000149	던켈 플랑베르쥬	
ITEM_20150317_000150	던켈 클레이모어	
ITEM_20150317_000151	그레이트 소드	
ITEM_20150317_000152	카츠발게르	
ITEM_20150317_000153	드레스 소드	
ITEM_20150317_000154	쯔바이핸더	
ITEM_20150317_000155	엑스큐셔너스 소드	
ITEM_20150317_000156	루마이 투 핸드 소드	
ITEM_20150317_000157	오버나이프	
ITEM_20150317_000158	포텐티아	
ITEM_20150317_000159	평범함 플랑베르쥬에 만족하지 못한다면 이것이 좋은 대안이 됩니다.	
ITEM_20150317_000160	템서스 플랑베르쥬	
ITEM_20150317_000161	당신의 잠재력과 더불어 큰 향상의 여지가 있는 무기입니다. 그 가능성을 시험해 보십시오.	
ITEM_20150317_000162	디델 콜로서스	
ITEM_20150317_000163	더 무겁게, 더 강하게, 더 넓게 공격하길 원한다면 이 검이 도움이 될 수 있습니다. 	
ITEM_20150317_000164	콜렉투르	
ITEM_20150317_000165	식물재앙 이후 실전에서도 많이 쓰이지만, 그전에는 장식과 수집용 검의 성격이 짙었습니다.	
ITEM_20150317_000166	호그마 그레이트 소드	
ITEM_20150317_000167	호그마들이 어디서 이런 무기를 구하는지 혹은 만드는지는 중요하지 않습니다. 우리가 제조하여 사용할 수 있다는 점이 중요합니다.	
ITEM_20150317_000168	케미니스 바스타드 소드	
ITEM_20150317_000169	윈터스푼 가문은 식물재앙이란 초유의 사태를 맞아 모든 알케미스트에게 이검의 제조법을 공개했습니다. 	
ITEM_20150317_000170	프리마루체	
ITEM_20150317_000171	자신의 첫 마법검으로 위력있는 무기를 원하는 검사들이 많이 선택하는 무기입니다.	
ITEM_20150317_000172	킨드잘	
ITEM_20150317_000173	자신의 무기를 길들이는 행위를 좋아하는 검사들은 이 검을 만들어 사용하기도 합니다.	
ITEM_20150317_000174	임페르니 투 핸드 소드	
ITEM_20150317_000175	블랙마켓과의 거래에서 이 검을 얻었다면 어느 정도 신뢰를 얻었다는 증거로 볼 수 있습니다.	
ITEM_20150317_000176	프리에블란다	
ITEM_20150317_000177	이 검의 제조법을 고안한 장인은 프리마루체의 제조자와 동일인입니다.	
ITEM_20150317_000178	라피스 카츠발게르	
ITEM_20150317_000179	카츠발게르를 강화하는 방법이 발견된 것은 100년도 안 됩니다. 고로 이 검의 제조법은 루클리스와는 무관합니다.	
ITEM_20150317_000180	스미스 투 핸드 소드	
ITEM_20150317_000181	신수의 날 이후 마법무기의 안정성을 덜 고려하는 풍토가 늘었습니다. 	
ITEM_20150317_000182	클라비스 투 핸드 소드	
ITEM_20150317_000183	당신 양손의 듬직한 확장이 될 수 있습니다.	
ITEM_20150317_000184	트레시 투 핸드 소드	
ITEM_20150317_000185	세스타스 투 핸드 소드	
ITEM_20150317_000186	드라트 투 핸드 소드	
ITEM_20150317_000187	아스턴 투 핸드 소드	
ITEM_20150317_000188	데비 투 핸드 소드	
ITEM_20150317_000189	프리마 투 핸드 소드	
ITEM_20150317_000190	플라미니	
ITEM_20150317_000191	예전부터 마족을 상대하려는 용사들의 필수품으로 여겨지던 좋은 검입니다.	
ITEM_20150317_000192	위저드 슬레이어	
ITEM_20150317_000193	마법사들은 이 검에 신경을 쓰지는 않습니다. 다만 전투 경험이 많은 마법사들은 확실한 주의를 기울입니다.	
ITEM_20150317_000194	양손검[타격]	
ITEM_20150317_000195	심야의 어둠속에서 튀어 나온 한 자루 검처럼 나크티스는 의외의 타격을 가합니다. 	
ITEM_20150317_000196	루시두스	
ITEM_20150317_000197	나무 베는 도끼라고 비하하는 사람도 있지만, 사용자들은 이 검이 없었다면 식물재앙은 더 엄청난 피해를 가져왔을 것이라고 말합니다. 	
ITEM_20150317_000198	헬 엔드 헤븐	
ITEM_20150317_000199	공격이 최선의 방어라는 경구가 있습니다. 당신이 이 검으로 그 사실을 증명하십시오.	
ITEM_20150317_000200	데스위버 투스	
ITEM_20150317_000201	실제로 데스위버의 신체를 이용해 만들지는 않습니다.	
ITEM_20150317_000202	채퍼리션 투 핸드 소드	
ITEM_20150317_000203	실체가 없는 기원에서 나온 것이 때로는 큰 힘을 제공하기도 합니다. 부피가 없는 것에서 나온 것이 때로 큰 것을 제압합니다.	
ITEM_20150317_000204	눌리스	
ITEM_20150317_000205	밤과 낮 어디에도 속하지 않는 존재들에게 강한 위력을 보입니다.	
ITEM_20150317_000206	그래비티	
ITEM_20150317_000207	당신이 누구든 어디에 있든 중력을 피하기는 어렵습니다. 그러나 중력에 적응한다면 그 효력은 누구도 무시할 수 없습니다.	
ITEM_20150317_000208	조악한 숏 로드	
ITEM_20150317_000209	로드[타격]	
ITEM_20150317_000210	마법을 배우는 자는 어떻게든 얻게 되는 장비입니다. 	
ITEM_20150317_000211	숏 로드	
ITEM_20150317_000212	마법사들이 입문기를 벗어나면 이런 장비로 교환합니다.	
ITEM_20150317_000213	로우 롱 로드	
ITEM_20150317_000214	마법사 장비에 더해지는 장식들은 단순한 치장 이상의 의미가 있습니다.	
ITEM_20150317_000215	로우 케인 로버	
ITEM_20150317_000216	고명한 마법사가 정성들여 깎은 지팡이는 신비한 힘을 담기 마련입니다.	
ITEM_20150317_000217	케인	
ITEM_20150317_000218	직접 깎지 않은 지팡이도 장식을 추가해 자신에게 맞추는 방법이 있다고 합니다.	
ITEM_20150317_000219	크룩	
ITEM_20150317_000220	전설에 따르면 처음에는 나쁜 심성의 마법사들이 사용했다고 합니다. 	
ITEM_20150317_000221	퓨터 로드	
ITEM_20150317_000222	한때 야심있는 젊은 마법사들 사이에서 유행했던 장비입니다.	
ITEM_20150317_000223	아울 로드	
ITEM_20150317_000224	경력있는 마법사들이 좋아하는 장식이 달려있습니다.	
ITEM_20150317_000225	룬 로드	
ITEM_20150317_000226	로드의 위력을 강화하기 위해 마법룬이 사용됩니다.	
ITEM_20150317_000227	크리스탈 로드	
ITEM_20150317_000228	마력을 담을 보석과 지팡이의 정확한 결합이 요구되는 장비입니다. 	
ITEM_20150317_000229	조악한 퓨터 로드	
ITEM_20150317_000230	조악한 아울 로드	
ITEM_20150317_000231	병사의 숏 로드	
ITEM_20150317_000232	이미 마법사인 사람들이 군에 지원하면 지급되던 장비입니다. 식물재앙후에 절차는 없어졌어도 수량은 많이 남았습니다.	
ITEM_20150317_000233	촌장의 롱 로드	
ITEM_20150317_000234	예전에 유행하던 형태입니다. 구식이지만 성능이 나쁘지는 않습니다.	
ITEM_20150317_000235	조악한 케인 로버	
ITEM_20150317_000236	배틀 로드	
ITEM_20150317_000237	마법에 대한 보조외에 다른 전투용으로 쓰일 수 있도록 만들어진 장비입니다.	
ITEM_20150317_000238	헤비 숏 로드	
ITEM_20150317_000239	롱 로드	
ITEM_20150317_000240	헤비 롱 로드	
ITEM_20150317_000241	케인 로버	
ITEM_20150317_000242	헤비 케인	
ITEM_20150317_000243	헤비 크룩	
ITEM_20150317_000244	헤비 퓨터 로드	
ITEM_20150317_000245	던켈 크룩	
ITEM_20150317_000246	던켈 크리스탈 로드	
ITEM_20150317_000247	던켈 롱 로드	
ITEM_20150317_000248	던켈 케인 로버	
ITEM_20150317_000249	던켈 케인	
ITEM_20150317_000250	던켈 퓨터 로드	
ITEM_20150317_000251	스네이크 로드	
ITEM_20150317_000252	알터 로드	
ITEM_20150317_000253	날드 로드	
ITEM_20150317_000254	엘더 로드	
ITEM_20150317_000255	미티어 로드	
ITEM_20150317_000256	링 로드	
ITEM_20150317_000257	서번트 로드	
ITEM_20150317_000258	판토 로드	
ITEM_20150317_000259	마법사들은 식물재앙 이후 출현한 몬스터에게서 새로운 사실들을 발견해 이용하곤 합니다.	
ITEM_20150317_000260	아이스 로드	
ITEM_20150317_000261	소문에 따르면 이 지팡이의 제작서가 팔릴 때마다 크리오맨서 마스터에게 돈이 지불된다고 합니다.	
ITEM_20150317_000262	파이어 로드	
ITEM_20150317_000263	여기 속하는 모든 로드에 가비야 여신의 힘을 깃들게 하는 방법을 아는 사람은 파이로맨서 마스터뿐입니다.	
ITEM_20150317_000264	바시아 로드	
ITEM_20150317_000265	사제들은 마법사들이 이 제조작업에서 영혼을 다루는 일을 마땅치 않게 생각하지만, 마법사들은 신경 쓰지 않습니다.	
ITEM_20150317_000266	매직 로드	
ITEM_20150317_000267	초보 마법사도 쉽게 만들 수 있는 형태의 마법강화 로드입니다.	
ITEM_20150317_000268	그리나스 로드	
ITEM_20150317_000269	식물재앙후 늘어난 마족 탓에 이 로드의 수요가 커져 원래 고가인 가격이 더 높아졌습니다.	
ITEM_20150317_000270	케미니스 로드	
ITEM_20150317_000271	동명의 다른 장비와 달리 이것은 윈터스푼 가문과 직접 관련이 없습니다.	
ITEM_20150317_000272	아크 로드	
ITEM_20150317_000273	더 높은 경지에 도달하고자 하는 마법사가 그 디딤돌로 자주 사용하는 장비입니다. 일단 높아진 지능으로 목적을 이루면 다른 장비를 사용하곤 합니다.	
ITEM_20150317_000274	임페르니 로드	
ITEM_20150317_000275	개성을 추구하는 마법사들이 애용하는 장비입니다.	
ITEM_20150317_000276	아라스의 롱 로드	
ITEM_20150317_000277	적절한 가격 덕분에 마법사들 사이에 간단한 선물로 자주 교환되는 물품 가운데 하나입니다.	
ITEM_20150317_000278	스미스 로드	
ITEM_20150317_000279	이 장비의 의외성은 사용자에 영향을 받지 않습니다.	
ITEM_20150317_000280	클라비스 로드	
ITEM_20150317_000281	당신이 이것을 사용하는 첫 역사적 인물이 되기를 바랍니다.	
ITEM_20150317_000282	디오 로드	
ITEM_20150317_000283	트레시 로드	
ITEM_20150317_000284	세스타스 로드	
ITEM_20150317_000285	드라트 로드	
ITEM_20150317_000286	아스턴 로드	
ITEM_20150317_000287	데비 로드	
ITEM_20150317_000288	프리마 로드	
ITEM_20150317_000289	테메레	
ITEM_20150317_000290	이 로드의 별칭은 인내의 지팡이입니다. 전설에 따르면 역사상 최고의 마법사인 아가일라 플러리가 제자들을 지도하기 위해 고안했다고 합니다. 	
ITEM_20150317_000291	이그니션	
ITEM_20150317_000292	파이로맨서 마스터는 이 지팡이의 상충되는 부분을 완화하고자 노력중이지만, 아직 진전은 없다고 합니다.	
ITEM_20150317_000293	세크레툼	
ITEM_20150317_000294	마법사를 위한 마법사만의 장비입니다. 따라서 마법사들은 이 지팡이의 단점은 보통 무시합니다.	
ITEM_20150317_000295	데스위버 로드	
ITEM_20150317_000296	데스위버의 힘이 담긴 장비입니다.	
ITEM_20150317_000297	채퍼리션 로드	
ITEM_20150317_000298	자이마	
ITEM_20150317_000299	이 로드의 제작서 가격이 비싼 이유는 크리오맨서 마스터의 강력한 요구에 따른 것이라고 합니다.	
ITEM_20150317_000300	에포스	
ITEM_20150317_000301	오래 전 당시 최고의 마법학이 동원되어 만들어진 지팡이입니다. 따라서 이 장비에 뭔가를 더하는 일은 현재 기술로도 불가능합니다. 	
ITEM_20150317_000302	반짝 로드	
ITEM_20150317_000303	언제나 빛나는 별을 볼 수 있습니다.	
ITEM_20150317_000304	없음_weapon_THBow	
ITEM_20150317_000305	조악한 라이트 보우	
ITEM_20150317_000306	활[찌르기]	
ITEM_20150317_000307	가내에서도 만들 수 있는 가장 간단한 활입니다.	
ITEM_20150317_000308	라이트 보우	
ITEM_20150317_000309	귀족령 및 여러 곳에서 많은 사람들이 제조하여 사용합니다.	
ITEM_20150317_000310	로우 숏 보우	
ITEM_20150317_000311	입문용이지만 능숙해진 후에도 사용을 고집하는 궁수도 있습니다.	
ITEM_20150317_000312	로우 롱 보우	
ITEM_20150317_000313	작은 거리가 생사를 가를 때가 있습니다. 조금 더 긴 사정거리를 원한다면 롱보우도 좋은 선택입니다.	
ITEM_20150317_000314	컴포지트 보우	
ITEM_20150317_000315	많은 재료를 적용하여 탄성을 강화시킨 활입니다.	
ITEM_20150317_000316	셀프 보우	
ITEM_20150317_000317	스스로 뼈를 깎는 수련을 다짐하는 궁사의 자세를 의미합니다.	
ITEM_20150317_000318	로카스 보우	
ITEM_20150317_000319	이 활을 처음으로 고안한 사람의 출신지를 따라 명칭이 붙은 것으로 추측됩니다.	
ITEM_20150317_000320	고리토스	
ITEM_20150317_000321	궁기병들이 애용하는 활입니다.	
ITEM_20150317_000322	굴라일	
ITEM_20150317_000323	활 제조에 마법을 이용한 첫 사례로 역사에 기록된 활입니다. 그후로도 꾸준히 제작되고 있습니다.	
ITEM_20150317_000324	카만	
ITEM_20150317_000325	근력에 자신있는 궁사들이 이런 강력한 개조를 좋아합니다.	
ITEM_20150317_000326	조악한 로카스 보우	
ITEM_20150317_000327	조악한 고리토스	
ITEM_20150317_000328	병사의 라이트 보우	
ITEM_20150317_000329	정규군 최저 규격에 맞춰 제조된 활을 지칭합니다.	
ITEM_20150317_000330	촌장의 숏 보우	
ITEM_20150317_000331	매일 줄을 묶고 푸는 수고를 한 흔적이 보입니다. 세월에 비해 관리는 잘 된 편입니다.	
ITEM_20150317_000332	조악한 롱 보우	
ITEM_20150317_000333	겐다와	
ITEM_20150317_000334	마법이 없는 공정으로 만들어진 활 중에는 가장 좋은 등급에 속하는 활입니다.	
ITEM_20150317_000335	헤비 라이트 보우	
ITEM_20150317_000336	숏 보우	
ITEM_20150317_000337	헤비 숏 보우	
ITEM_20150317_000338	롱 보우	
ITEM_20150317_000339	헤비 컴포지트 보우	
ITEM_20150317_000340	헤비 셀프 보우	
ITEM_20150317_000341	헤비 로카스 보우	
ITEM_20150317_000342	던켈 셀프 보우	
ITEM_20150317_000343	던켈 카만	
ITEM_20150317_000344	던켈 숏 보우	
ITEM_20150317_000345	던켈 롱 보우	
ITEM_20150317_000346	던켈 컴포지트 보우	
ITEM_20150317_000347	던켈 로카스 보우	
ITEM_20150317_000348	리커브 보우	
ITEM_20150317_000349	시즈 보우	
ITEM_20150317_000350	스나이퍼 보우	
ITEM_20150317_000351	스컬 보우	
ITEM_20150317_000352	우든 컴파운드 보우	
ITEM_20150317_000353	테그 보우	
ITEM_20150317_000354	로그 보우	
ITEM_20150317_000355	시커	
ITEM_20150317_000356	예전부터 이 활은 사냥꾼들이 애용하던 활이었며, 식물재앙후 쓸모가 더 많아졌습니다.	
ITEM_20150317_000357	아이언 보우	
ITEM_20150317_000358	조준력이 우수하고 적에게 예상치 못한 피해룰 주는 일이 잦습니다.	
ITEM_20150317_000359	호크 보우	
ITEM_20150317_000360	아무 뼈로나 마든 셀프보우는 금과 상승작용이 없는 경우도 간혹 발생합니다.	
ITEM_20150317_000361	케미니스 보우	
ITEM_20150317_000362	민첩성이 좋아지는 특징 덕에 이런 이름이 붙었습니다.	
ITEM_20150317_000363	헌팅 보우	
ITEM_20150317_000364	활계통의 연금술 적용은 이론만 있다가 최근 필요에 의해 많이 제작되고 있는 추세입니다.	
ITEM_20150317_000365	메이커 보우	
ITEM_20150317_000366	예전에는 넉넉한 사냥꾼들이 구입했습니다. 현재는 상황이 심각해졌기에 돈이 모이면 누구나 사거나 만듭니다. 	
ITEM_20150317_000367	새비지 보우	
ITEM_20150317_000368	식물재앙후 고급활의 수요가 늘어나자 이 활이 많이 제조되고 있습니다. 	
ITEM_20150317_000369	스네이크 보우	
ITEM_20150317_000370	근력이 강하거나 약하거나 이 활은 좋은 선택이 될 수 있습니다. 있으면 더 강력하게 부족하면 보충하게 되니까 말입니다.	
ITEM_20150317_000371	임페르니 보우	
ITEM_20150317_000372	이름답게 독기어린 공격이 가능합니다.	
ITEM_20150317_000373	레테나 보우	
ITEM_20150317_000374	무게감있는 활로 중량급의 몬스터를 사냥하는 기분을 느낄 수 있습니다.	
ITEM_20150317_000375	스트롱 보우	
ITEM_20150317_000376	제작이 번거롭지만, 그만한 가치가 있는 무기입니다.	
ITEM_20150317_000377	아라스의 숏 보우	
ITEM_20150317_000378	처음 마법활을 얻는 사람들이 주로 구입하는 무기입니다.	
ITEM_20150317_000379	퓰리 보우	
ITEM_20150317_000380	스미스 보우	
ITEM_20150317_000381	다른 활이 없다면 행운을 기대하고 구입하십시오.	
ITEM_20150317_000382	클라비스 보우	
ITEM_20150317_000383	마법활치고는 평범하다는 평가를 듣지만, 어떤 사용자는 비범하게 쓸지도 모릅니다.	
ITEM_20150317_000384	디오 보우	
ITEM_20150317_000385	트레시 보우	
ITEM_20150317_000386	세스타스 보우	
ITEM_20150317_000387	드라트 보우	
ITEM_20150317_000388	아스턴 보우	
ITEM_20150317_000389	데비 보우	
ITEM_20150317_000390	프리마 보우	
ITEM_20150317_000391	와이들링 베인	
ITEM_20150317_000392	이상하게 들릴지 모르지만, 식물재앙 이전에는 사냥꾼들은 이 활을 잘 사용하지 않았습니다. 짐승을 잡으면 포획물이 너무 손상이 심했기 때문입니다. 	
ITEM_20150317_000393	이퀄라이저	
ITEM_20150317_000394	자신의 실력말고는 어떤 변수도 원하지 않는 자존심 높은 궁사들이 있습니다. 그들에게 딱 맞는 활입니다.	
ITEM_20150317_000395	하트 시커	
ITEM_20150317_000396	이 활에 걸린 주문은 알 수 없는 이유로 양측에 모두 작용하는 저주로 변했습니다. 그래도 여전히 궁수들은 이 활의 장점 때문에 선택하곤 합니다.	
ITEM_20150317_000397	바이퍼	
ITEM_20150317_000398	너무 강한 독을 사용하기 때문에 사용자도 그 피해를 감수하고 사용하는 활입니다.	
ITEM_20150317_000399	데스위버 보우	
ITEM_20150317_000400	이 활이 당신 적들의 죽음을 자아내길 바랍니다.	
ITEM_20150317_000401	채퍼리션 보우	
ITEM_20150317_000402	이런 말이 적혀 있습니다. 허리는 세우고 어깨는 넣고, 시위를 당기듯 활을 밀듯 쏘라	
ITEM_20150317_000403	블러드 게인	
ITEM_20150317_000404	리디아 샤펜이 창안했다고 합니다. 리디아 샤펜은 생전에 이 활을 애용했으나 자신이 창설한 별의 탑과 샤펜스타에는 이 제작법을 일부러 전하지 않았다고 합니다.	
ITEM_20150317_000405	템페스트 슈터	
ITEM_20150317_000406	최근에 궁수마스터들이 함께 연구하여 창안한 새로운 활입니다. 식물재앙에 대처하길 바라는 염원이 담겨있습니다.	
ITEM_20150317_000407	없음_weapon_Bow	
ITEM_20150317_000408	로우 라이트 크로스보우	
ITEM_20150317_000409	쇠뇌[찌르기]	
ITEM_20150317_000410	공격력보다는 다른 손을 자유롭게 쓸 필요가 있을 때 선택됩니다.	
ITEM_20150317_000411	로우 크로스보우	
ITEM_20150317_000412	요즘 쇠뇌는 다양한 재료로 만들어집니다. 몬스터 부산물의 비중이 높습니다.	
ITEM_20150317_000413	도큐	
