SKILL_20180327_000001	Attack	공격	
SKILL_20180327_000062	{#339999}{ol}[Ice]{/}{/} Attacks to Targets #{SkillAtkAdd}#	{#339999}{ol}[결빙]{/}{/} 대상에게 공격력 #{SkillAtkAdd}#	
SKILL_20180327_000063	Gung Ho	겅호	
SKILL_20180327_000064	Become determined by temporarily increasing your attack, while decreasing your defense.	각오를 다져 일시적으로 자신의 공격력을 증가시키는 대신 방어력을 감소시킵니다.	
SKILL_20180327_000065	Physical Damage: +#{CaptionRatio}#{nl}Physical Defense: -#{CaptionRatio2}#{nl}Duração: #{CaptionTime}# segundos	물리 공격력 #{CaptionRatio}# 증가{nl}물리 방어력 #{CaptionRatio2}# 감소{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000066	Triple Arrow	트리플 애로우	
SKILL_20180327_000067	{#DD5500}{ol}[Missile]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}Attack Speed]{/}{/}{nl}Shoot three exploding arrows. The explosion damages nearby enemies as well.	{#DD5500}{ol}[미사일]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}공격속도]{/}{/}{nl}전방에 폭발하는 화살 세개를 동시에 발사합니다. 화살은 맞은 적 위치에서 폭발하여 주변 적에게도 피해를 줍니다.	
SKILL_20180327_000068	Attack: #{SkillFactor}#% x 3	공격력 #{SkillFactor}#% x 3회	
SKILL_20180327_000069	Scratch	할퀴기	
SKILL_20180327_000070	Slash	가르기	
SKILL_20180327_000071	Wild Breath	와일드 브레스	
SKILL_20180327_000072	Warcry	포효	
SKILL_20180327_000073	[Paladin Master] Normal attack	[팔라딘 마스터] 일반 공격	
SKILL_20180327_000074	[Priest Master] Normal attack	[프리스트 마스터] 일반 공격	
SKILL_20180327_000075	[Hunter Master] Normal attack	[헌터 마스터] 일반 공격	
SKILL_20180327_000076	[Krivis Master] Normal attack	[크리비 마스터] 일반 공격	
SKILL_20180327_000077	[Barbarian Master] Normal attack	[바바리안 마스터] 일반 공격	
SKILL_20180327_000078	[Linker Master] Normal attack	[링커 마스터] 일반 공격	
SKILL_20180327_000079	[Wugushi Master] Normal attack	[무고사 마스터] 일반 공격	
SKILL_20180327_000080	[Sadhu Master] Normal attack	[사두 마스터] 일반 공격	
SKILL_20180327_000081	[Rodelero Master] Normal attack	[로델레로 마스터] 일반 공격	
SKILL_20180327_000082	[Scout Master] Normal attack	[스카우트 마스터] 일반 공격	
SKILL_20180327_000083	[Rogue Master] Normal attack	[로그 마스터] 일반 공격	
SKILL_20180327_000084	[Monk Master] Normal attack	[몽크 마스터] 일반 공격	
SKILL_20180327_000085	[Oracle Master] Normal attack	[오라클 마스터] 일반 공격	
SKILL_20180327_000086	[Druid Master] Normal attack	[드루이드 마스터] 일반 공격	
SKILL_20180327_000087	[Elite Kepa] 1 time, Physical, Poison Property, Strike	[엘리트케파] 1회, 물리, 독속성, 떄리기	
SKILL_20180327_000088	Break Tiles	장판깨트리기	
SKILL_20180327_000089	Break Tiles	장판 깨트리기	
SKILL_20180327_000090	Basic Attack	기본 공격	
SKILL_20180327_000091	Attack an enemy from a short distance.	근거리의 적에게 공격을 합니다.	
SKILL_20180327_000092	Right-hand Bow (Two-handed Bow only)	보우 오른손(투핸드보우 전용)	
SKILL_20180327_000093	Deal damage by swinging your weapon to an enemy from a short distance.	무기를 휘둘러서 근거리의 적에게 피해를 입힙니다.	
SKILL_20180327_000094	Attack an enemy with magic from a far distance.	원거리의 적에게 마법 공격을 합니다.	
SKILL_20180327_000095	Attack an enemy from a short distance(Warrior's Two-handed Sword only)	근거리의 적에게 공격을 합니다(전사 양손검 전용)	
SKILL_20180327_000096	Attack an enemy magic from a far distance.(Two-handed Staff)	원거리의 적에게 마법 공격을 합니다.(양손스태프)	
SKILL_20180327_000097	Dagger Pierce	단검 찌르기	
SKILL_20180327_000098	Attack an enemy from a short distance. The target gets knocked back when it is struck a certain number of times.	근거리의 적에게 공격을 합니다. 특정 타격 횟수 이상 적에게 입히게 되면 대상을 밀어냅니다.	
SKILL_20180327_000099	Dream Song	몽왕가	
SKILL_20180327_000100	Shadow Umbrella	섀도엄브렐러 	
SKILL_20180327_000101	In development	개발중	
SKILL_20180327_000102	Item skill	아이템 스킬	
SKILL_20180327_000103	Dash Attack	대시 공격	
SKILL_20180327_000104	This is the dash version of the base attack	기본공격의 대시버전입니다	
SKILL_20180327_000105	Zaibas	자이바스	
SKILL_20180327_000106	Lv. 1 Attack Ratio: #{SkillFactor}#, Taxa de Ataque em Área: #{SkillSR}#	Lv.1 공격 비율 #{SkillFactor}#, 광역 공격 비율 #{SkillSR}#	
SKILL_20180327_000107	Basic Attack 2	기본 공격2	
SKILL_20180327_000108	Bow Left hand	보우 왼손	
SKILL_20180327_000109	Right-hand Bow (Crossbow only)	보우 오른손(크로스보우 전용)	
SKILL_20180327_000110	Right-handed Pistol (Pistol Only)	권총 오른손(권총 전용)	
SKILL_20180327_000111	Staff Attack	스태프 공격	
SKILL_20180327_000112	Attack an enemy from a short distance.	근거리의 적에게 공격을 합니다	
SKILL_20180327_000113	Attack a distant enemy	원거리의 적을 공격 합니다	
SKILL_20180327_000114	Cannon Attack	캐논 공격	
SKILL_20180327_000115	Summon: Force Attack	소환수 강제공격	
SKILL_20180327_000116	Your summon will attack the targeted enemy.	타겟된 대상을 소환수가 강제공격 합니다.	
SKILL_20180327_000117	Nível Máximo: 1	1레벨 마스터	
SKILL_20180327_000118	Summon: Cancel Attack	소환수 강제공격 취소	
SKILL_20180327_000119	Cancels Force Attack and attacks enemies randomly. 	강제공격을 취소하고 무작위 적을 공격 합니다.	
SKILL_20180327_000120	Summon: Release	소환 해제	
SKILL_20180327_000121	Release your summon.	소환된 소환수를 제거합니다.	
SKILL_20180327_000122	Double Pistol Attack	쌍권총 공격	
SKILL_20180327_000123	Muleta counter attack	물레타 반격	
SKILL_20180327_000124	Counter Attack an enemy from a short distance.	근거리의 적에게 반격 합니다.	
SKILL_20180327_000125	Lightning Hands Basic Attack	라이트닝 핸즈 기본 공격	
SKILL_20180327_000126	Lightning Hands	라이트닝 핸즈	
SKILL_20180327_000127	Nak Muay Attack	낙무아이 공격	
SKILL_20180327_000128	Musket Attack	머스킷 공격	
SKILL_20180327_000129	Basic	기본	
SKILL_20180327_000130	Shovelling	삽질	
SKILL_20180327_000131	Detect metal	금속탐지	
SKILL_20180327_000132	啞鈴	덤벨	
SKILL_20180327_000133	Water spray	물뿌리개	
SKILL_20180327_000134	Mining	채광	
SKILL_20180327_000135	Party Horn	풍선 피리	
SKILL_20180327_000136	Fireworks	불꽃놀이	
SKILL_20180327_000137	Hot Pack	핫 팩	
SKILL_20180327_000138	Fireworks Green	불꽃놀이 녹색	
SKILL_20180327_000139	Public_Test 1	공용_테스트1	
SKILL_20180327_000140	Mischief 1	화끈1	
SKILL_20180327_000141	Public_Test 2	공용_테스트2	
SKILL_20180327_000142	Mischief 2	화끈2	
SKILL_20180327_000143	Public_Test 3	공용_테스트3	
SKILL_20180327_000144	Mischief 3	화끈3	
SKILL_20180327_000145	Public_Test 4	공용_테스트4	
SKILL_20180327_000146	Mischief 4	화끈4	
SKILL_20180327_000147	Public_Test 5	공용_테스트5	
SKILL_20180327_000148	Mischief 5	화끈5	
SKILL_20180327_000149	Hoplite	하플라이트	
SKILL_20180327_000150	In development	개발 진행 중	
SKILL_20180327_000151	Attack +#{SkillFactor}#, Taxa de Ataque em Área: #{SkillSR}#{nl}Consumes #{SpendSP}# SP	공격력 #{SkillFactor}# 증가, 광역 공격 비율 #{SkillSR}#{nl}소비 SP #{SpendSP}#	
SKILL_20180327_000152	Guard	가드	
SKILL_20180327_000153	Block enemy attack with shield [Guard Point 150]	방패로 적의 공격을 막아냅니다. [가드포인트 150]	
SKILL_20180327_000154	Physical Attack Ratio: +#{SkillFactor}# + #{SkillAtkAdd}#	물리공격 비율 #{SkillFactor}#+#{SkillAtkAdd}# 증가	
SKILL_20180327_000155	[Golem Card] Physical Non-Property Strike	[골렘 카드] 물리 무속성 타격	
SKILL_20180327_000156	[Mushcaria Card] Physical Poison Property Strike	[머슈카리아 카드] 물리 독속성 타격	
SKILL_20180327_000157	[Rocktortuga Card] Physical Non-Property Strike	[락토르투가 카드] 물리 무속성 타격	
SKILL_20180327_000158	[Poata Card] Physical Dark Property Magic	[포아타 카드] 물리 암속성 마법	
SKILL_20180327_000159	[Tutu Card] Physical Poison Property Slash	[투투 카드] 물리 독속성 베기	
SKILL_20180327_000160	[Vubbe Fighter Card] Physical Non-Property Strike	[부베 투사 카드] 물리 무속성 타격	
SKILL_20180327_000161	[Red Vubbe Fighter Card] Physical Non-Property Pierce	[붉은 부베 투사 카드] 물리 무속성 찌르기	
SKILL_20180327_000162	[Chafer Card] Physical Poison Property Magic	[체이퍼 카드] 물리 독속성 마법	
SKILL_20180327_000163	[Glass_Mole Card] Physical Non-Property Pierce	[글래스몰 카드] 물리 무속성 찌르기	
SKILL_20180327_000164	[Woodspirit Card] Physical Non-Property Magic	[우드스피릿 카드] 물리 무속성 마법	
SKILL_20180327_000165	[Cyclops Card] Physical Dark Property Strike	[사이클롭스 카드] 물리 암속성 타격	
SKILL_20180327_000166	[Salamander Card] Magic Fire Property Magic	[샐러맨더 카드] 매직 화속성 마법	
SKILL_20180327_000167	[Bearkaras Card] Physical Non-Property Magic	[베아카라스 카드] 물리 무속성 마법	
SKILL_20180327_000168	[Dazzled Specter Card] Magic Dark Property Strike	[현혹의 스펙터 카드] 매직 암속성 타격	
SKILL_20180327_000169	[Stone_Whale Card] Magic Non-Property Strike	[석화고래 카드] 매직 무속성 타격	
SKILL_20180327_000170	[Ginklas Card] Physical Fire Property Strike	[긴클라스 카드] 물리 화속성 타격	
SKILL_20180327_000171	[Carapace Card] Physical Non-Property Strike	[캐러페이스 카드] 물리 무속성 타격	
SKILL_20180327_000172	[Specter Monarch Card] Magic Dark Property Magic	[스펙터 군주 카드] 매직 암속성 마법	
SKILL_20180327_000173	[Netherbovine Card] Physical Dark Property Pierce	[네더보바인 카드] 물리 암속성 찌르기	
SKILL_20180327_000174	[Mirtis Card] Magic Dark Property Slash	[미르티스 카드] 매직 암속성 베기	
SKILL_20180327_000175	[Sequoia Card] Physical Fire Property Magic	[세콰이아 카드] 물리 화속성 마법	
SKILL_20180327_000176	[Rikaus Card] Physical Dark Property Slash	[리카우스 카드] 물리 암속성 베기	
SKILL_20180327_000177	[Werewolf Card] Physical Dark Property Magic	[웨어울프 카드] 물리 암속성 마법	
SKILL_20180327_000178	[Shadowgaler Card] Magic Dark Property Slash	[섀도게일러 카드] 매직 암속성 베기	
SKILL_20180327_000179	[Carnivore Card] Physical Poison Property Magic	[카너버 카드] 물리 독속성 마법	
SKILL_20180327_000180	[Minotaur Card] Magic Fire Property Magic	[미노타우로스 카드] 매직 화속성 마법	
SKILL_20180327_000181	[Throneweaver Card] Magic Poison Property Strike	[쓰론위버 카드] 매직 독속성 타격	
SKILL_20180327_000182	[Biteregina Card] Physical Non-Property Pierce	[비테리지나 카드] 물리 무속성 찌르기	
SKILL_20180327_000183	[Chapparition Card] Magic Dark Property Magic	[채퍼리션 카드] 매직 암속성 마법	
SKILL_20180327_000184	[Mummyghast Card] Physical Dark Property Magic	[머미가스트 카드] 물리 암속성 마법	
SKILL_20180327_000185	Ice Breath	아이스브레스	
SKILL_20180327_000186	[Ironbaum Card] Physical Fire Property Strike	[아이언바움 카드] 물리 화속성 타격	
SKILL_20180327_000187	[Gorgon Card] Magic Dark Property Pierce	[고르곤 카드] 매직 암속성 찌르기	
SKILL_20180327_000188	[Drapeliun Card] Physical Dark Property Pierce	[드라페리운 카드] 물리 암속성 찌르기	
SKILL_20180327_000189	[Unicorn Card] Magic Dark Property Slash	[유니콘 카드] 매직 암속성 베기	
SKILL_20180327_000190	[Moldyhorn Card] Magic Poison Property Magic	[몰디혼 카드] 매직 독속성 마법	
SKILL_20180327_000191	[Rytaswort Card] Magic Poison Property Pierce	[리타스워트 카드] 매직 독속성 찌르기	
SKILL_20180327_000192	[Harpeia Card] Physical Lightning Property Slash	[하르피아 카드] 물리 전기속성 베기	
SKILL_20180327_000193	[Mothstem Card] Physical Lightning Property Pierce	[모스템 카드] 물리 전기속성 찌르기	
SKILL_20180327_000194	[Merge Card] Physical Non-Property Slash	[머지 카드] 물리 무속성 베기	
SKILL_20180327_000195	[Clymen Card] Physical Poison Property Strike	[클라이멘 카드] 물리 독속성 타격	
SKILL_20180327_000196	[Devilglove Card] Magic Lightning Property Strike	[데블글로브 카드] 매직 전기속성 타격	
SKILL_20180327_000197	[Necroventer Card] Magic Dark Property Magic	[네크로벤터 카드] 매직 암속성 마법	
SKILL_20180327_000198	[Molich Card] Physical Dark Property Strike	[몰렉 카드] 물리 암속성 타격	
SKILL_20180327_000199	[Yonazolem Card] Magic Non-Property Strike	[요나졸렘 카드] 매직 무속성 타격	
SKILL_20180327_000200	[Abomination Card] Physical Dark Property Slash	[어보미네이션 카드] 물리 암속성 베기	
SKILL_20180327_000201	[Ellaganos Card] Physical Dark Property Pierce	[엘라가노스 카드] 물리 암속성 찌르기	
SKILL_20180327_000202	[Archon Card] Physical Fire Property Strike	[아콘 카드] 물리 화속성 타격	
SKILL_20180327_000203	[Gaigalas Card] Physical Fire Property Magic	[가이갈라스 카드] 물리 화속성 마법	
SKILL_20180327_000204	[Bramble Card] Magic Dark Property Strike	[브람블 카드] 매직 암속성 타격	
SKILL_20180327_000205	[Honeypin Card] Physical Poison Property Strike	[허니핀 카드] 물리 독속성 타격	
SKILL_20180327_000206	[Bebraspion Card] Physical Lightning Property Strike	[베브라스피온 카드] 물리 전기속성 타격	
SKILL_20180327_000207	[Giant Red Wood Goblin Card] Magic Fire Property Magic	[자이언트 레드 우드 카드] 매직 화속성 마법	
SKILL_20180327_000208	[Giant Wood Goblin Card] Magic Non-Property Magic	[자이언트 우드 고블린 카드] 매직 무속성 마법	
SKILL_20180327_000209	[Kirmelich Card] Physical Poison Property Pierce	[키르멜리치 카드] 물리 독속성 찌르기	
SKILL_20180327_000210	[Magbug] Physical Fire Property Magic	[매그버크] 물리 화속성 마법	
SKILL_20180327_000211	[Kepachieftain Card] Physical Poison Property Strike	[케파치프틴 카드] 물리 독속성 타격	
SKILL_20180327_000212	[Achat Card] Magic Non-Property Magic	[에하트 카드] 매직 무속성 마법	
SKILL_20180327_000213	[Shnayim Card] Magic Lightning Property Magic	[쉬나임 카드] 매직 전기속성 마법	
SKILL_20180327_000214	[Tomb Lord Card] Magic Dark Property Magic	[툼로드 카드] 매직 암속성 마법	
SKILL_20180327_000215	[Denoptic Card] Magic Lightning Property Slash	[덴옵틱 카드] 매직 전기속성 베기	
SKILL_20180327_000216	[Iltiswort Card] Physical Poison Property Magic	[일티스워트 카드] 물리 독속성 마법	
SKILL_20180327_000217	[Scorpio Card] Physical Poison Property Pierce	[스콜피오 카드] 물리 독속성 찌르기	
SKILL_20180327_000218	[Enchant Poison] Magic Poison Property	[인챈트포이즌] 매직 독속성 마법	
SKILL_20180327_000219	[Ravinepede Card] Physical Poison Property Strike	[라바인피드 카드] 물리 독속성 타격	
SKILL_20180327_000220	[Rajatoad Card] Physical Water Property Magic	[라자토드 카드] 물리 수속성 마법	
SKILL_20180327_000221	[Unknocker Card] Physical Dark Property Strike	[언낙커 카드] 물리 암속성 타격	
SKILL_20180327_000222	[Saltistter Card] Physical Water Property Strike	[살티스터 카드] 물리 수속성 타격	
SKILL_20180327_000223	[Deadborn Card] Physical Non-Property Slash	[데드본 카드] 물리 무속성 베기	
SKILL_20180327_000224	[Corrupted Card] Magic Holy Property Magic	[코럽티드 카드] 매직 신성속성 마법	
SKILL_20180327_000225	[Mallet Wyvern Card] Magic Non-Property Strike	[말렛와이번 카드] 매직 무속성 타격	
SKILL_20180327_000226	[Moyabruka Card] Physical Non-Property Strike	[모야브루카 카드] 물리 무속성 타격	
SKILL_20180327_000227	[Colimencia Card] Physical Water Property Strike	[콜리멘시아 카드] 물리 수속성 타격	
SKILL_20180327_000228	[Rajapearl Card] Magic Water Property Strike	[라자펄 카드] 매직 수속성 타격	
SKILL_20180327_000229	[Mushwort Card] Magic Poison Property Magic	[머쉬워트 카드] 매직 독속성 마법	
SKILL_20180327_000230	[Lepus Card] Physical Water Property Pierce	[레푸스 카드] 물리 수속성 찌르기	
SKILL_20180327_000231	[Sparnas Card] Physical Lightning Property Magic	[스파르나스 카드] 물리 전기속성 마법	
SKILL_20180327_000232	[Cactusvel Card] Physical Poison Property Magic	[캑터스벨 카드] 물리 독속성 마법	
SKILL_20180327_000233	[Throw] Physical Non-Property Strike	[던지기] 물리 무속성 타격	
SKILL_20180327_000234	[Velorchard Card] Magic Poison Property Magic	[벨로차드 카드] 매직 독속성 마법	
SKILL_20180327_000235	[Luropus Card] Physical Non-Property Pierce	[루토푸스 카드] 물리 무속성 찌르기	
SKILL_20180327_000236	[Dionia Card] Magic Non-Property Magic	[디오니아 카드] 마법 무속성 매직	
SKILL_20180327_000237	[Gazing Golem Card] Physical Fire Property Strike	[게이징 골렘 카드] 물리 화속성 타격	
SKILL_20180327_000238	[Summon Leaves] Non-Property Magic	[나뭇잎 소환] 매직 무속성 마법	
SKILL_20180327_000239	[Hydra Card] Physical Water Property Magic	[히드라 카드] 물리 수속성 마법	
SKILL_20180327_000240	[Moa Card] Physical Non-Property Strike	[모아 카드] 물리 무속성 타격	
SKILL_20180327_000241	[Jack O'Lantern Card] Magic Fire Property Pierce	[잭오랜턴 카드] 매직 화속성 찌르기	
SKILL_20180327_000242	[Manticen Card] Physical Non-Property Magic	[맨티켄 카드] 물리 무속성 마법	
SKILL_20180327_000243	[Mineloader Card] Physical Lightning Property Magic	[마인로더 카드] 물리 전기속성 마법	
SKILL_20180327_000244	[Grinender Card] Magic Fire Property Magic	[그라이넨더 카드] 매직 화속성 마법	
SKILL_20180327_000245	[Helgasercle Card] Physical Dark Property Slash	[헬가세르클 카드] 물리 암속성 베기	
SKILL_20180327_000246	[Yekub Card] Magic Dark Property Strike	[예쿱 카드] 매직 암속성 타격	
SKILL_20180327_000247	[Physical Shield] Non-Property Magic	[물리 실드] 매직 무속성 마법	
SKILL_20180327_000248	[Sparnasman Card] Physical Non-Property Magic	[스파나스맨 카드] 물리 무속성 마법	
SKILL_20180327_000249	Increase HP & SP Recovery	HP, SP 회복력 증가	
SKILL_20180327_000250	Increase HP, SP restoration	HP, SP 회복능력이 증가합니다.	
SKILL_20180327_000251	Restore HP +100{nl}Restore SP +100{nl}Duration -5 seg	HP회복 100증가{nl}SP회복 100증가{nl}재생시간 5초 감소	
SKILL_20180327_000252	Increased Stats	스탯 증가	
SKILL_20180327_000253	Increased All Stats	모든 스탯 능력치가 증가합니다.	
SKILL_20180327_000254	Increased All Stats by 10%	모든 스탯 능력치 10% 증가	
SKILL_20180327_000255	Decrease Cooldown Time	재사용 대기시간 감소	
SKILL_20180327_000256	Decreases Skill Cooldown Time	스킬 재사용 대기시간이 감소합니다	
SKILL_20180327_000257	Decreases Skill Cooldown Time by 10%	스킬 재사용 대기시간 10%감소	
SKILL_20180327_000258	Increased Attack	공격력 증가	
SKILL_20180327_000259	Increase Physical Attack, Magic Attack	물리 공격력, 마법 공격력이 증가합니다.	
SKILL_20180327_000260	Physical Attack +10%{nl}Magic Attack +10%	물리 공격력 10%증가{nl}마법 공격력 10%증가	
SKILL_20180327_000261	Increase defense	방어력 증가	
SKILL_20180327_000262	Increase Physical Defense, Magic Defense	물리 방어력, 마법 방어력이 증가합니다.	
SKILL_20180327_000263	Physical Defense +10%{nl}Magic Defense +10%	물리 방어력 10%증가{nl}마법 방어력 10%증가	
SKILL_20180327_000264	Increased EXP Rate	경험치 획득량 증가	
SKILL_20180327_000265	Fire Pillar	파이어 필라	
SKILL_20180327_000266	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl}Summons a pillar of fire to inflict damage on enemies.	{#993399}{ol}[마법] - [불]{/}{/}{nl}화염 기둥을 소환해 적에게 피해를 줍니다.	
SKILL_20180327_000267	Attack: #{SkillAtkAdd}#{nl}Duração: #{CaptionTime}# segundos	공격력 #{SkillAtkAdd}#{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000268	Pure White Wedding Bouquet	순백의 신부 부케	
SKILL_20180327_000269	May Wedding Bouquet	5월의 신부 부케	
SKILL_20180327_000270	企鵝氣泡膜	펭귄 뽁뽁이	
SKILL_20180327_000271	Fan	부채	
SKILL_20180327_000272	Flame	화염 탄	
SKILL_20180327_000273	Shoot Flame to enemy	적에게 화염 탄을 발사합니다	
SKILL_20180327_000274	Lightning	전기 탄	
