SKILL_20180327_000001	攻击	공격	
SKILL_20180327_000031	增加攻击速度#{CaptionRatio}#。{nl}持续时间#{CaptionTime}#秒	공격속도 #{CaptionRatio}# 증가{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000032	多重射击	멀티샷	
SKILL_20180327_000033	{#DD5500}{ol}[物理] - [刺击]{/}{/}{nl}对指定的位置快速发射许多发的弓箭。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}지정한 위치에 여러발의 화살을 빠르게 발사합니다.	
SKILL_20180327_000034	攻击力#{SkillAtkAdd}#{nl}#{CaptionRatio}#次射击	공격력 #{SkillAtkAdd}#{nl}#{CaptionRatio}#회 사격	
SKILL_20180327_000035	石化诅咒	스톤커스	
SKILL_20180327_000036	暂时让敌人变成石化状态。	적을 일시적으로 석화 상태로 만듭니다.	
SKILL_20180327_000037	持续时间 #{CaptionTime}#秒{nl}范围攻击比率 #{CaptionRatio}#	지속시간 #{CaptionTime}#초{nl}광역 공격 비율 #{CaptionRatio}#	
SKILL_20180327_000038	魔法飞弹	매직 미사일	
SKILL_20180327_000039	{#993399}{ol}[魔法]{/}{/}{nl}用魔法子弹连续攻击敌人。配合被催眠的敌人，产生新子弹飞去。	{#993399}{ol}[마법]{/}{/}{nl}마법의 탄환으로 적을 연속 공격합니다. 슬리프에 걸린 적을 맞추면 새로운 탄환이 생성되어 날아갑니다.	
SKILL_20180327_000040	攻击力#{SkillAtkAdd}#{nl}魔法飞弹3个	공격력 #{SkillAtkAdd}#{nl}매직 미사일 3개	
SKILL_20180327_000041	联合惩罚	조인트 페널티	
SKILL_20180327_000042	将敌人互相连结，让敌人能够同时受到攻击。	적들을 서로 연결해 동시에 공격당하도록 합니다.	
SKILL_20180327_000043	最大链结数 #{SkillFactor}#个{nl}持续时间 #{CaptionTime}#秒	최대 링크 수 #{SkillFactor}#개{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000044	破壞盔甲	아머 브레이크	
SKILL_20180327_000045	消除对象的防具效力。	대상의 방어구의 효력을 없앱니다.	
SKILL_20180327_000046	防禦力弱化	방어력 약화	
SKILL_20180327_000047	降低对象的防御率。	대상의 방어력을 낮춥니다.	
SKILL_20180327_000048	死亡宣告	죽음의 선고	
SKILL_20180327_000049	对敌人宣告死亡。受到死亡宣告的对象经过预定时间后就会死亡。	적에게 죽음을 선고합니다. 죽음을 선고받은 대상은 예정 시간이 지나면 반드시 죽습니다.	
SKILL_20180327_000050	宣告持续时间 #{CaptionRatio}#秒	선고 지속시간 #{CaptionRatio}#초	
SKILL_20180327_000051	锥箭	보드킨 포인트	
SKILL_20180327_000052	{#DD5500}{ol}[飞弹]{/}{/}{nl}发射贯穿力强大的锥箭。被箭命中的敌人防御力会暂时减少，并将保护敌人的魔法无效化。	{#DD5500}{ol}[미사일]{/}{/}{nl}관통력이 강한 보드킨 화살을 발사합니다. 이 화살에 맞은 적은 일시적으로 방어력이 감소되며, 적을 보호하던 마법을 무효화합니다.	
SKILL_20180327_000053	攻击力 #{SkillAtkAdd}#{nl}特性攻击力 #{CaptionRatio2}#%{nl}物理防御力减少 #{CaptionRatio}#% {nl}清除反射盾{nl}消耗锥箭1个	공격력 #{SkillAtkAdd}#{nl}특성 공격력 #{CaptionRatio2}#%{nl}물리 방어력 #{CaptionRatio}#% 감소{nl}리플렉트 실드 제거{nl}보드킨포인트 애로우 1개 소비	
SKILL_20180327_000054	障壁	배리어	
SKILL_20180327_000055	建立将周围的敌人们推到外面，让其暂时无法进来的保护壁。在壁牆内的我军，魔法防御力会提升。	주변의 적들을 바깥으로 밀어내고 한동안 들어올 수 없게 하는 방호의 벽을 세웁니다. 벽 안쪽 아군의 마법 방어력을 향상시킵니다.	
SKILL_20180327_000056	魔法防御力增加#{CaptionRatio}# {nl}持续时间#{CaptionTime}#秒	마법 방어력 #{CaptionRatio}# 증가{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000057	金钟罩	금종조	
SKILL_20180327_000058	暂时成为无敌的状态，无视所有攻击。	일시적으로 모든 공격으로부터 무적 상태가 됩니다. 	
SKILL_20180327_000059	最大持续时间 #{CaptionTime}#秒{nl}远距离发射体，可以魔法防御	최대 지속시간 #{CaptionTime}#초{nl}원거리 발사체, 마법 방어 가능	
SKILL_20180327_000060	狂风	거스트	
SKILL_20180327_000061	引起强风推动敌人们。对结冰的敌人使用后，会给予伤害，并使结冰解除。	강풍을 일으켜 적들을 밀쳐냅니다. 결빙된 적에게 사용하면 피해를 주면서, 결빙을 해제시킵니다.	
SKILL_20180327_000062	{#339999}{ol}[结冰]{/}{/} 对目前造成攻击力 #{SkillAtkAdd}#	{#339999}{ol}[결빙]{/}{/} 대상에게 공격력 #{SkillAtkAdd}#	
SKILL_20180327_000063	奋起	겅호	
SKILL_20180327_000064	增强决心暂时增加自身的攻击力，但会让防御力减少。	각오를 다져 일시적으로 자신의 공격력을 증가시키는 대신 방어력을 감소시킵니다.	
SKILL_20180327_000065	物理攻击力#{CaptionRatio}# 增加{nl}物理防御力 #{CaptionRatio2}# 减少{nl}持续时间 #{CaptionTime}#秒	물리 공격력 #{CaptionRatio}# 증가{nl}물리 방어력 #{CaptionRatio2}# 감소{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000066	三重矢	트리플 애로우	
SKILL_20180327_000067	{#DD5500}{ol}[飞弹]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}攻击速度]{/}{/}{nl}向前方射出爆炸的三隻箭，被射中的敌人位置会爆炸并对周围的敌人施加伤害。	{#DD5500}{ol}[미사일]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}공격속도]{/}{/}{nl}전방에 폭발하는 화살 세개를 동시에 발사합니다. 화살은 맞은 적 위치에서 폭발하여 주변 적에게도 피해를 줍니다.	
SKILL_20180327_000068	攻击力 #{SkillFactor}#% x 3次	공격력 #{SkillFactor}#% x 3회	
SKILL_20180327_000069	爪击	할퀴기	
SKILL_20180327_000070	劈砍	가르기	
SKILL_20180327_000071	狂野气息	와일드 브레스	
SKILL_20180327_000072	咆哮	포효	
SKILL_20180327_000073	[圣殿十字军大师] 一般攻击	[팔라딘 마스터] 일반 공격	
SKILL_20180327_000074	[圣水祭司大师] 一般攻击	[프리스트 마스터] 일반 공격	
SKILL_20180327_000075	[猎人大师] 一般攻击	[헌터 마스터] 일반 공격	
SKILL_20180327_000076	[圣火祭司大师] 一般攻击	[크리비 마스터] 일반 공격	
SKILL_20180327_000077	[野蛮人大师] 一般攻击	[바바리안 마스터] 일반 공격	
SKILL_20180327_000078	[锁链法师大师] 一般攻击	[링커 마스터] 일반 공격	
SKILL_20180327_000079	[巫蛊师大师] 一般攻击	[무고사 마스터] 일반 공격	
SKILL_20180327_000080	[圣者大师] 一般攻击	[사두 마스터] 일반 공격	
SKILL_20180327_000081	[圆盾剑士大师] 一般攻击	[로델레로 마스터] 일반 공격	
SKILL_20180327_000082	[斥候大师] 一般攻击	[스카우트 마스터] 일반 공격	
SKILL_20180327_000083	[流氓大师] 一般攻击	[로그 마스터] 일반 공격	
SKILL_20180327_000084	[武僧大师] 一般攻击	[몽크 마스터] 일반 공격	
SKILL_20180327_000085	[神谕师大师] 一般攻击	[오라클 마스터] 일반 공격	
SKILL_20180327_000086	[德鲁伊大师] 一般攻击	[드루이드 마스터] 일반 공격	
SKILL_20180327_000087	[菁英洋葱怪]1次、物理、毒属性、打击	[엘리트케파] 1회, 물리, 독속성, 떄리기	
SKILL_20180327_000088	碎击大地	장판깨트리기	
SKILL_20180327_000089	碎击大地	장판 깨트리기	
SKILL_20180327_000090	基本攻击	기본 공격	
SKILL_20180327_000091	对近距离的敌人攻击。	근거리의 적에게 공격을 합니다.	
SKILL_20180327_000092	弓箭右手(双手弓专用)	보우 오른손(투핸드보우 전용)	
SKILL_20180327_000093	挥动武器，对近距离的敌人造成伤害。	무기를 휘둘러서 근거리의 적에게 피해를 입힙니다.	
SKILL_20180327_000094	对远距离的敌人施展魔法攻击。	원거리의 적에게 마법 공격을 합니다.	
SKILL_20180327_000095	对近距离的敌人攻击(战士双手剑专用)	근거리의 적에게 공격을 합니다(전사 양손검 전용)	
SKILL_20180327_000096	对远距离的敌人施展魔法攻击。(两手权杖)	원거리의 적에게 마법 공격을 합니다.(양손스태프)	
SKILL_20180327_000097	短剑刺击	단검 찌르기	
SKILL_20180327_000098	攻击近距离的敌人。特定打击次数以上会对敌人造成伤害，并击退对象。	근거리의 적에게 공격을 합니다. 특정 타격 횟수 이상 적에게 입히게 되면 대상을 밀어냅니다.	
SKILL_20180327_000099	梦想家	몽왕가	
SKILL_20180327_000100	黑影雨伞	섀도엄브렐러 	
SKILL_20180327_000101	开发中	개발중	
SKILL_20180327_000102	道具技能	아이템 스킬	
SKILL_20180327_000103	再次攻击	대시 공격	
SKILL_20180327_000104	基本攻击的突击版本	기본공격의 대시버전입니다	
SKILL_20180327_000105	落雷	자이바스	
SKILL_20180327_000106	Lv.1 攻击比率 #{SkillFactor}#、范围攻击比率 #{SkillSR}#	Lv.1 공격 비율 #{SkillFactor}#, 광역 공격 비율 #{SkillSR}#	
SKILL_20180327_000107	基本攻击2	기본 공격2	
SKILL_20180327_000108	弓箭左手	보우 왼손	
SKILL_20180327_000109	弓箭右手(十字弓专用)	보우 오른손(크로스보우 전용)	
SKILL_20180327_000110	手枪右手(手枪专用)	권총 오른손(권총 전용)	
SKILL_20180327_000111	法杖攻击	스태프 공격	
SKILL_20180327_000112	对近距离的敌人进行攻击	근거리의 적에게 공격을 합니다	
SKILL_20180327_000113	攻击远距离的敌人	원거리의 적을 공격 합니다	
SKILL_20180327_000114	砲击攻击	캐논 공격	
SKILL_20180327_000115	召唤兽强行攻击	소환수 강제공격	
SKILL_20180327_000116	召唤兽强行攻击目标对象。	타겟된 대상을 소환수가 강제공격 합니다.	
SKILL_20180327_000117	1级掌握	1레벨 마스터	
SKILL_20180327_000118	取消召唤兽强行攻击	소환수 강제공격 취소	
SKILL_20180327_000119	取消强行攻击并随机攻击敌人。	강제공격을 취소하고 무작위 적을 공격 합니다.	
SKILL_20180327_000120	解除召唤	소환 해제	
SKILL_20180327_000121	清除已召唤的召唤兽。	소환된 소환수를 제거합니다.	
SKILL_20180327_000122	双枪攻击	쌍권총 공격	
SKILL_20180327_000123	红绒布反击	물레타 반격	
SKILL_20180327_000124	对近距离敌人进行反击。	근거리의 적에게 반격 합니다.	
SKILL_20180327_000125	雷电之手基本攻击	라이트닝 핸즈 기본 공격	
SKILL_20180327_000126	雷电之手	라이트닝 핸즈	
SKILL_20180327_000127	泰拳专家攻击	낙무아이 공격	
SKILL_20180327_000128	火枪攻击	머스킷 공격	
SKILL_20180327_000129	基本	기본	
SKILL_20180327_000130	铁铲开挖	삽질	
SKILL_20180327_000131	金属探测	금속탐지	
SKILL_20180327_000132	啞鈴	덤벨	
SKILL_20180327_000133	喷水器	물뿌리개	
SKILL_20180327_000134	採矿	채광	
SKILL_20180327_000135	派对吹笛	풍선 피리	
SKILL_20180327_000136	放烟火	불꽃놀이	
SKILL_20180327_000137	暖暖包	핫 팩	
SKILL_20180327_000138	绿色烟火	불꽃놀이 녹색	
SKILL_20180327_000139	共用_测试1	공용_테스트1	
SKILL_20180327_000140	火热1	화끈1	
SKILL_20180327_000141	共用_测试2	공용_테스트2	
SKILL_20180327_000142	火热2	화끈2	
SKILL_20180327_000143	共用_测试3	공용_테스트3	
SKILL_20180327_000144	火热3	화끈3	
SKILL_20180327_000145	共用_测试4	공용_테스트4	
SKILL_20180327_000146	火热4	화끈4	
SKILL_20180327_000147	共用_测试5	공용_테스트5	
SKILL_20180327_000148	火热5	화끈5	
SKILL_20180327_000149	重装步兵	하플라이트	
SKILL_20180327_000150	开发进行中	개발 진행 중	
SKILL_20180327_000151	攻击力 #{SkillFactor}# 增加、范围攻击比率 #{SkillSR}#{nl}消耗 SP #{SpendSP}#	공격력 #{SkillFactor}# 증가, 광역 공격 비율 #{SkillSR}#{nl}소비 SP #{SpendSP}#	
SKILL_20180327_000152	防守	가드	
SKILL_20180327_000153	以盾牌挡下敌人的攻击。[防守点数150]	방패로 적의 공격을 막아냅니다. [가드포인트 150]	
SKILL_20180327_000154	物理攻击比率 #{SkillFactor}#+#{SkillAtkAdd}# 增加	물리공격 비율 #{SkillFactor}#+#{SkillAtkAdd}# 증가	
SKILL_20180327_000155	[青苔泥人卡片] 物理无属性打击	[골렘 카드] 물리 무속성 타격	
SKILL_20180327_000156	[蘑菇卡利亚卡片] 物理毒属性打击	[머슈카리아 카드] 물리 독속성 타격	
SKILL_20180327_000157	[远古石龟兽卡片] 物理无属性打击	[락토르투가 카드] 물리 무속성 타격	
SKILL_20180327_000158	[波亚塔卡片] 物理暗属性魔法	[포아타 카드] 물리 암속성 마법	
SKILL_20180327_000159	[毒魔蛙图图卡片] 物理毒属性斩击	[투투 카드] 물리 독속성 베기	
SKILL_20180327_000160	[布贝斗士卡片] 物理无属性打击	[부베 투사 카드] 물리 무속성 타격	
SKILL_20180327_000161	[赤红布贝斗士卡片] 物理无属性刺击	[붉은 부베 투사 카드] 물리 무속성 찌르기	
SKILL_20180327_000162	[查伊波卡片] 物理毒属性魔法	[체이퍼 카드] 물리 독속성 마법	
SKILL_20180327_000163	[葛雷斯墨尔卡片] 物理无属性刺击	[글래스몰 카드] 물리 무속성 찌르기	
SKILL_20180327_000164	[树精卡] 物理无属性魔法	[우드스피릿 카드] 물리 무속성 마법	
SKILL_20180327_000165	[独眼巨人卡片] 物理暗属性打击	[사이클롭스 카드] 물리 암속성 타격	
SKILL_20180327_000166	[火焰蜥蜴王卡片] 魔法火属性魔法	[샐러맨더 카드] 매직 화속성 마법	
SKILL_20180327_000167	[贝亚卡拉斯卡片] 物理无属性魔法	[베아카라스 카드] 물리 무속성 마법	
SKILL_20180327_000168	[蛊惑恶灵卡片] 魔法暗属性打击	[현혹의 스펙터 카드] 매직 암속성 타격	
SKILL_20180327_000169	[石鲸怪卡片] 魔法无属性打击	[석화고래 카드] 매직 무속성 타격	
SKILL_20180327_000170	[奇葛拉斯卡片] 物理火属性打击	[긴클라스 카드] 물리 화속성 타격	
SKILL_20180327_000171	[盖洛贝斯寄居蟹卡片] 物理无属性打击	[캐러페이스 카드] 물리 무속성 타격	
SKILL_20180327_000172	[恶灵君主卡片] 魔法暗属性魔法	[스펙터 군주 카드] 매직 암속성 마법	
SKILL_20180327_000173	[尼多普巴伊卡片] 物理暗属性 刺击	[네더보바인 카드] 물리 암속성 찌르기	
SKILL_20180327_000174	[米尔堤斯卡片] 魔法暗属性 斩击	[미르티스 카드] 매직 암속성 베기	
SKILL_20180327_000175	[赛夸伊亚卡片] 物理火属性魔法	[세콰이아 카드] 물리 화속성 마법	
SKILL_20180327_000176	[利卡乌斯卡片] 物理暗属性 斩击	[리카우스 카드] 물리 암속성 베기	
SKILL_20180327_000177	[狼人卡片] 物理暗属性魔法	[웨어울프 카드] 물리 암속성 마법	
SKILL_20180327_000178	[鬼影凯伊洛卡片] 魔法暗属性 斩击	[섀도게일러 카드] 매직 암속성 베기	
SKILL_20180327_000179	[魔花卡诺波卡片] 物理毒属性魔法	[카너버 카드] 물리 독속성 마법	
SKILL_20180327_000180	[米诺牛头怪卡片] 魔法火属性魔法	[미노타우로스 카드] 매직 화속성 마법	
SKILL_20180327_000181	[王座大蜘蛛卡片] 魔法毒属性打击	[쓰론위버 카드] 매직 독속성 타격	
SKILL_20180327_000182	[比特雷巨蜂卡片] 物理无属性 刺击	[비테리지나 카드] 물리 무속성 찌르기	
SKILL_20180327_000183	[死灵查普利卡片] 魔法暗属性魔法	[채퍼리션 카드] 매직 암속성 마법	
SKILL_20180327_000184	[木乃伊贾西特卡片] 物理暗属性魔法	[머미가스트 카드] 물리 암속성 마법	
SKILL_20180327_000185	冰雪吐息	아이스브레스	
SKILL_20180327_000186	[钢铁巴温卡片] 物理火属性打击	[아이언바움 카드] 물리 화속성 타격	
SKILL_20180327_000187	[库勒坤魔牛卡片] 魔法暗属性刺击	[고르곤 카드] 매직 암속성 찌르기	
SKILL_20180327_000188	[德拉涪里温卡片] 物理暗属性刺击	[드라페리운 카드] 물리 암속성 찌르기	
SKILL_20180327_000189	[独角兽卡片] 魔法暗属性斩击	[유니콘 카드] 매직 암속성 베기	
SKILL_20180327_000190	[魔地兽卡片] 魔法毒属性魔法	[몰디혼 카드] 매직 독속성 마법	
SKILL_20180327_000191	[霸王食人花卡片] 魔法毒属性刺击	[리타스워트 카드] 매직 독속성 찌르기	
SKILL_20180327_000192	[夏勒琵雅卡片] 物理电气属性斩击	[하르피아 카드] 물리 전기속성 베기	
SKILL_20180327_000193	[魔斯怪怪卡] 物理电气属性刺击	[모스템 카드] 물리 전기속성 찌르기	
SKILL_20180327_000194	[摩吉卡片] 物理无属性斩击	[머지 카드] 물리 무속성 베기	
SKILL_20180327_000195	[女妖克莱默卡片] 物理毒属性打击	[클라이멘 카드] 물리 독속성 타격	
SKILL_20180327_000196	[恶魔葛洛夫卡片] 魔法电气属性打击	[데블글로브 카드] 매직 전기속성 타격	
SKILL_20180327_000197	[地狱亡灵卡片] 魔法暗属性魔法	[네크로벤터 카드] 매직 암속성 마법	
SKILL_20180327_000198	[莫雷克卡片] 物理暗属性打击	[몰렉 카드] 물리 암속성 타격	
SKILL_20180327_000199	[约纳乔雷卡片] 魔法无属性打击	[요나졸렘 카드] 매직 무속성 타격	
SKILL_20180327_000200	[铁甲残魔卡片] 物理暗属性斩击	[어보미네이션 카드] 물리 암속성 베기	
SKILL_20180327_000201	[机角卡洛斯卡片] 物理暗属性刺击	[엘라가노스 카드] 물리 암속성 찌르기	
SKILL_20180327_000202	[亚崑卡片] 物理火属性打击	[아콘 카드] 물리 화속성 타격	
SKILL_20180327_000203	[魔龙凯拉斯卡片] 物理火属性魔法	[가이갈라스 카드] 물리 화속성 마법	
SKILL_20180327_000204	[佛朗布卡片] 魔法暗属性打击	[브람블 카드] 매직 암속성 타격	
SKILL_20180327_000205	[鬼眼蜘蛛卡片] 物理毒属性打击	[허니핀 카드] 물리 독속성 타격	
SKILL_20180327_000206	[火暴地鼠兽卡片] 物理电气属性打击	[베브라스피온 카드] 물리 전기속성 타격	
SKILL_20180327_000207	[树林巨兽] 魔法火属性魔法	[자이언트 레드 우드 카드] 매직 화속성 마법	
SKILL_20180327_000208	[树林巨兽卡片] 魔法无属性魔法	[자이언트 우드 고블린 카드] 매직 무속성 마법	
SKILL_20180327_000209	[奇鲁毛虫兽卡片] 物理毒属性刺击	[키르멜리치 카드] 물리 독속성 찌르기	
SKILL_20180327_000210	[火山龟兽] 物理火属性魔法	[매그버크] 물리 화속성 마법	
SKILL_20180327_000211	[克帕奇树妖卡片] 物理毒属性打击	[케파치프틴 카드] 물리 독속성 타격	
SKILL_20180327_000212	[艾哈特卡片] 魔法无属性魔法	[에하트 카드] 매직 무속성 마법	
SKILL_20180327_000213	[虚拿因卡片] 魔法电气属性魔法	[쉬나임 카드] 매직 전기속성 마법	
SKILL_20180327_000214	[锁链罗德卡片] 魔法暗属性魔法	[툼로드 카드] 매직 암속성 마법	
SKILL_20180327_000215	[巨眼丹提卡片] 魔法电气属性 斩击	[덴옵틱 카드] 매직 전기속성 베기	
SKILL_20180327_000216	[伊提斯大嘴兽卡片] 物理毒属性魔法	[일티스워트 카드] 물리 독속성 마법	
SKILL_20180327_000217	[巨魔蝎卡片] 物理毒属性刺击	[스콜피오 카드] 물리 독속성 찌르기	
SKILL_20180327_000218	[强化毒] 魔法毒属性魔法	[인챈트포이즌] 매직 독속성 마법	
SKILL_20180327_000219	[尖角皮德虫卡片] 物理毒属性打击	[라바인피드 카드] 물리 독속성 타격	
SKILL_20180327_000220	[拉查托特卡片] 物理水属性魔法	[라자토드 카드] 물리 수속성 마법	
SKILL_20180327_000221	[邪恶宝箱怪卡片] 物理暗属性打击	[언낙커 카드] 물리 암속성 타격	
SKILL_20180327_000222	[萨尔提斯托卡片] 物理水属性打击	[살티스터 카드] 물리 수속성 타격	
SKILL_20180327_000223	[铁甲殭尸卡片] 物理无属性斩击	[데드본 카드] 물리 무속성 베기	
SKILL_20180327_000224	[克洛提德卡片] 魔法神圣属性魔法	[코럽티드 카드] 매직 신성속성 마법	
SKILL_20180327_000225	[玛尔雷飞龙卡片] 魔法无属性打击	[말렛와이번 카드] 매직 무속성 타격	
SKILL_20180327_000226	[莫亚班罗喀卡片] 物理无属性打击	[모야브루카 카드] 물리 무속성 타격	
SKILL_20180327_000227	[柯里曼希亚卡片] 物理水属性打击	[콜리멘시아 카드] 물리 수속성 타격	
SKILL_20180327_000228	[魔鬼鳐卡片] 魔法水属性打击	[라자펄 카드] 매직 수속성 타격	
SKILL_20180327_000229	[蘑菇沃特卡片] 魔法毒属性魔法	[머쉬워트 카드] 매직 독속성 마법	
SKILL_20180327_000230	[雷普斯卡片] 物理水属性刺击	[레푸스 카드] 물리 수속성 찌르기	
SKILL_20180327_000231	[斯帕勒那丝卡片] 物理电气属性魔法	[스파르나스 카드] 물리 전기속성 마법	
SKILL_20180327_000232	[仙人掌妖精卡片] 物理毒属性魔法	[캑터스벨 카드] 물리 독속성 마법	
SKILL_20180327_000233	[丢掷] 物理无属性打击	[던지기] 물리 무속성 타격	
SKILL_20180327_000234	[贝洛查德卡片] 魔法毒属性魔法	[벨로차드 카드] 매직 독속성 마법	
SKILL_20180327_000235	[鲁托普士卡片] 物理无属性刺击	[루토푸스 카드] 물리 무속성 찌르기	
SKILL_20180327_000236	[迪欧尼亚卡片] 魔法无属性魔法	[디오니아 카드] 마법 무속성 매직	
SKILL_20180327_000237	[凯吉青苔泥人卡片] 物理火属性打击	[게이징 골렘 카드] 물리 화속성 타격	
SKILL_20180327_000238	[树叶召唤] 魔法无属性魔法	[나뭇잎 소환] 매직 무속성 마법	
SKILL_20180327_000239	[希德拉卡片] 物理水属性魔法	[히드라 카드] 물리 수속성 마법	
SKILL_20180327_000240	[莫厄卡片] 物理无属性打击	[모아 카드] 물리 무속성 타격	
SKILL_20180327_000241	[南瓜灯笼怪卡片] 魔法火属性刺击	[잭오랜턴 카드] 매직 화속성 찌르기	
SKILL_20180327_000242	[孟堤肯卡片] 物理无属性魔法	[맨티켄 카드] 물리 무속성 마법	
SKILL_20180327_000243	[玛因洛德卡片] 物理电气属性魔法	[마인로더 카드] 물리 전기속성 마법	
SKILL_20180327_000244	[克莱狞怪卡片] 魔法火属性魔法	[그라이넨더 카드] 매직 화속성 마법	
SKILL_20180327_000245	[赫嘉塞露卡片] 物理暗属性斩击	[헬가세르클 카드] 물리 암속성 베기	
SKILL_20180327_000246	[耶库卡片] 魔法暗属性打击	[예쿱 카드] 매직 암속성 타격	
SKILL_20180327_000247	[物理盾牌] 魔法无属性魔法	[물리 실드] 매직 무속성 마법	
SKILL_20180327_000248	[史潘飞行兽人卡片] 物理无属性魔法	[스파나스맨 카드] 물리 무속성 마법	
SKILL_20180327_000249	增加HP、SP恢复力	HP, SP 회복력 증가	
SKILL_20180327_000250	增加HP、SP 恢复能力。	HP, SP 회복능력이 증가합니다.	
SKILL_20180327_000251	HP恢复增加100{nl}SP恢复增加100{nl}冷却时间减少5秒	HP회복 100증가{nl}SP회복 100증가{nl}재생시간 5초 감소	
SKILL_20180327_000252	属性增加	스탯 증가	
SKILL_20180327_000253	增加所有属性能力值。	모든 스탯 능력치가 증가합니다.	
SKILL_20180327_000254	所有属性能力值增加10%	모든 스탯 능력치 10% 증가	
SKILL_20180327_000255	冷却时间减少	재사용 대기시간 감소	
SKILL_20180327_000256	减少技能冷却时间	스킬 재사용 대기시간이 감소합니다	
SKILL_20180327_000257	技能冷却时间减少10%	스킬 재사용 대기시간 10%감소	
SKILL_20180327_000258	攻击力增加	공격력 증가	
SKILL_20180327_000259	增加物理攻击力、魔法攻击力。	물리 공격력, 마법 공격력이 증가합니다.	
SKILL_20180327_000260	物理攻击力增加10%{nl}魔法攻击力增加10%	물리 공격력 10%증가{nl}마법 공격력 10%증가	
SKILL_20180327_000261	防御力增加	방어력 증가	
SKILL_20180327_000262	增加物理防御力、魔法防御力。	물리 방어력, 마법 방어력이 증가합니다.	
SKILL_20180327_000263	物理防御力增加10%{nl}魔法防御力增加10%	물리 방어력 10%증가{nl}마법 방어력 10%증가	
SKILL_20180327_000264	增加经验值获得量	경험치 획득량 증가	
SKILL_20180327_000265	火柱	파이어 필라	
SKILL_20180327_000266	{#993399}{ol}[魔法] - [火]{/}{/}{nl}召唤火焰柱，给予敌人伤害。	{#993399}{ol}[마법] - [불]{/}{/}{nl}화염 기둥을 소환해 적에게 피해를 줍니다.	
SKILL_20180327_000267	攻击力#{SkillAtkAdd}#{nl}持续时间 #{CaptionTime}#秒	공격력 #{SkillAtkAdd}#{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000268	纯白新娘捧花	순백의 신부 부케	
SKILL_20180327_000269	新娘捧花	5월의 신부 부케	
SKILL_20180327_000270	企鵝氣泡膜	펭귄 뽁뽁이	
SKILL_20180327_000271	扇子	부채	
SKILL_20180327_000272	火焰弹	화염 탄	
SKILL_20180327_000273	对敌人发射火焰弹	적에게 화염 탄을 발사합니다	
SKILL_20180327_000274	电气弹	전기 탄	
