ITEM_20180327_000001	无 helmet	없음_helmet	
ITEM_20180327_000082	短髮俏丽又适合，而剪短头髮最大的好处就是剪下的头髮可以变卖。	짧은 머리가 예쁘게 어울립니다. 다만 머리를 짧게 자르는 일에 가장 큰 장점은 잘라낸 머리카락을 팔 수도 있다는 점입니다, 	
ITEM_20180327_000083	不對稱短髮	비대칭 숏 컷	
ITEM_20180327_000084	对方会从你稍被掩盖的脸上感觉到魅力的。	상대가 당신의 살짝 가린 얼굴에 매력을 느낄 것입니다.	
ITEM_20180327_000085	飛機頭	리젠트	
ITEM_20180327_000086	含著隐隐金光的一束头髮会让你的背影发光。	은근한 금빛을 머금은 머릿결이 한 줄기가 당신의 뒷모습을 빛나게 합니다.	
ITEM_20180327_000087	蓬鬆短髮	숏 샤기	
ITEM_20180327_000088	给人明朗轻快的感觉，让著装的人看起来更帅气。	밝고 가벼운 느낌을 주어 착용자를 멋지게 보이도록 합니다.	
ITEM_20180327_000089	西裝油頭	넘긴 머리	
ITEM_20180327_000090	不跟随流行又不会失去魅力的髮型。	유행을 타지 않으면서도 멋을 잃지 않는 머리 모양입니다.	
ITEM_20180327_000091	嬰兒捲髮	베이비펌	
ITEM_20180327_000092	据说此髮型是80年前多米飞尔国王统治时出现的。当时的贵族为了与得势的圣职者与魔法师区别所设计，然而此后许多人争相模仿，渐渐不在是专属贵族的髮型。	이 머리 모양의 출현 시기는 약 80년전 도미펠 국왕의 통치기로 알려져 있습니다. 당시의 귀족들이 득세한 성직자 및 마법사와 구별하기 위해 고안되었으나 이후 많은 사람이 따라하면서 딱히 귀족의 머리모양만은 아니게 되었습니다.	
ITEM_20180327_000093	丹迪頭	댄디	
ITEM_20180327_000094	听说设计此髮型的人是勒肯家门先祖中的其中一人。	이 머리모양을 창안한 사람은 르귄 가문의 선조 가운데 한 명이었다고 합니다.	
ITEM_20180327_000095	短馬尾	숏 포니테일	
ITEM_20180327_000096	听说这是利迪亚夏班短头髮时期，她的弟子模仿师傅而产生的髮型。 虽然起源是女性，但之后许多男性做了修改，产生了现在的男版髮型。	리디아 샤펜이 머리가 짧았던 시절에 그녀의 제자들이 스승을 따라하면서 생겨난 머리모양이라고 합니다. 기원이 여성이었지만, 이후 많은 남성들의 교정으로 현재의 남성 머리 모양으로도 존재합니다.	
ITEM_20180327_000097	貴族捲髮	노블 웨이브	
ITEM_20180327_000098	明亮的金色头髮让你的外貌看起来更高贵。	밝은 금빛의 머리가 당신의 외모를 고귀하게 보이도록 합니다.	
ITEM_20180327_000099	陰影燙髮	쉐도우펌	
ITEM_20180327_000100	这并不是单纯技术剪出的髮型，为了维持还套入了隐藏魔法，可说是日常生活中的魔法。	단순한 기술로 만들어진 머리 모양이 아닙니다. 이 형태를 유지하기 위해 숨은 마법이 작용하고 있습니다. 그야말로 일상속의 마법이라 할 수 있습니다. 	
ITEM_20180327_000101	后梳短捲髮	올림 웨이브	
ITEM_20180327_000102	也有人这样说髮型这种东西不会是展现女神相关攻击的起点，可是女神也有她的爱好。	머리 모양 따위가 여신에 대한 공경을 보여줄 수 있는 시작점일 리가 없다고 말하는 사람도 있습니다. 그러나 여신께서도 취향을 지니고 계십니다. 	
ITEM_20180327_000103	贵族马尾辫	노블 포니테일	
ITEM_20180327_000104	这是王国和平时期时都会流行的髮型，虽然是神树之日以后的时间，但是包含著再次祈愿那个时代的心情在裡面。	왕국이 평화로운 시기마다 유행한 머리 모양입니다. 비록 신수의 날 이후의 시기이지만 그 시절을 다시 기원하는 마음이 담겨있습니다.	
ITEM_20180327_000105	鸡冠头饰(男)	코카트리스 헤드(남)	
ITEM_20180327_000106	头套[男]	헬멧[남성]	
ITEM_20180327_000107	装备时外型会改变，不会套用染色药的颜色。	착용 시 외형이 변경됩니다. 염색약의 색상이 적용되지 않습니다.	
ITEM_20180327_000108	飞机头	퀴프 컷	
ITEM_20180327_000109	这个髮型在伊凯梅尔国王时代还传到了王国外的部族社会。	이 머리 모양은 이케멜 국왕 시대에 왕국 밖의 부족사회에 전파되기도 했습니다.	
ITEM_20180327_000110	贵族丹迪头	노블 댄디 컷	
ITEM_20180327_000111	活动中也想维持绅士品格的强烈男性们偏好的髮型。	활동적인 신사와 기품을 유지하려는 강한 남성들이 선호하는 머리 모양입니다.	
ITEM_20180327_000112	后捲烫髮	컬링 백 펌	
ITEM_20180327_000113	一开始原本是与异性定下誓约，为表示遵守约定的意志而产生的髮型。到现在宣誓的意义已不存在。	처음에는 이성과 강한 서약을 맺고 그것을 지키겠다는 의지를 나타내기 위한 머리 모양이었습니다. 지금에 이르러서는 그런 맹세의 의미는 남아있지 않습니다. 	
ITEM_20180327_000114	髮髻潮男头	어퍼바인드 투블럭	
ITEM_20180327_000115	一开始是发誓要报仇的剑士们用髮型来祈祷。到现代已经不带有誓约，装饰的意味更强。	처음에는 복수를 맹세한 전사들의 머리 모양에서 기원했다고 합니다. 현대에 이르러서는 서약을 기려 맺는 일은 없고, 장식의 의미가 더 강합니다.	
ITEM_20180327_000116	潮男头	투블럭	
ITEM_20180327_000117	髮髻潮男头中的宣誓意味消失后，自然演变成的髮型。	어퍼바인드 투 블럭에서 맹세의 의미가 사라지면서 자연스럽게 발생한 변형된 머리 모양입니다.	
ITEM_20180327_000118	小王子捲髮	프린스 웨이브	
ITEM_20180327_000119	以前王家子弟留的髮型，他们为自然流露的优雅与光泽秀髮自豪。	예전 왕가의 자제들이 주로 하던 머리로, 자연스러운 우아함과 찰랑이는 머릿결을 자랑합니다.	
ITEM_20180327_000120	中等短髮	미디엄 커트	
ITEM_20180327_000121	过去上流社会流行过的髮型，记录上说要维持此髮型需要使用特殊颜料液体来固定。	과거 상류층들이 주로 하고 다녔던 머리모양으로, 유지하기 위해서는 여러가지 안료를 혼합한 특수한 액체로 고정하였다는 기록도 있을 정도입니다.	
ITEM_20180327_000122	不对称长髮	비대칭 롱 컷	
ITEM_20180327_000123	配戴时，髮型会变更。	착용 시 헤어가 변경됩니다.	
ITEM_20180327_000124	奇金捲毛狗头套(男)	치킨 푸들 헤드(남)	
ITEM_20180327_000125	燕尾服猫咪头套(男)	턱시도 냥이 헤드(남)	
ITEM_20180327_000126	波波小狮王头套(男)	포포리온 헤드(남)	
ITEM_20180327_000127	企鹅头套(男)	펭귄 헤드(남)	
ITEM_20180327_000128	粉红小花怪头套(男)	하나밍 헤드(남)	
ITEM_20180327_000129	凯帕头套(男)	케파 헤드(남)	
ITEM_20180327_000130	双马尾	볼륨웨이브 트윈테일	
ITEM_20180327_000131	髮型[女性]	헤어[여성]	
ITEM_20180327_000132	根据传闻拉明将军在废都时多亏了这个髮型而认出公主，才可以救出被埋了一半的公主。	소문에 의하면, 라민 장군이 폐도에서 이 머리 모양 덕분에 공주를 알아보고 절반쯤 파묻힌 공주를 구할 수 있었다고 합니다.	
ITEM_20180327_000133	螺旋捲髮	볼륨웨이브	
ITEM_20180327_000134	不用特别装扮很自然又显露帅性的髮型，可以说就如同女神的权能般的。	꾸미지 않은 자연스러움이 멋지게 드러나는 머리 모양입니다. 마치 여신의 권능같다고나 할까요.	
ITEM_20180327_000135	蓬鬆長髮	롱 샤기	
ITEM_20180327_000136	濃密捲俏	볼륨 컬	
ITEM_20180327_000137	長馬尾辮子	롱 포니테일	
ITEM_20180327_000138	雙馬尾	트윈테일	
ITEM_20180327_000139	雷鬼辮子頭	레게포니테일	
ITEM_20180327_000140	雙包頭	더블 번	
ITEM_20180327_000141	層次長髮	롱 레이어드	
ITEM_20180327_000142	短雙馬尾	숏 트윈테일	
ITEM_20180327_000143	綁起來的長捲髮	묶은 롱 웨이브	
ITEM_20180327_000144	波浪型雙辮子	롱 웨이브 트윈테일	
ITEM_20180327_000145	贵族长髮	노블 롱	
ITEM_20180327_000146	在为了曾在废都的皇室女孩们而创建的女校开始流行的髮型，之后女性们也跟著仿效。	폐도에 있던 왕가의 영애들을 위한 여학교에서 시작된 머리 모양으로 이후 많은 여성들이 이를 따랐습니다.	
ITEM_20180327_000147	短捲髮	숏 컷 펌	
ITEM_20180327_000148	如女神像般的神圣感降临似的髮丝，很适合这种表达的髮型，当然不是指木头雕像。	여신상의 성스러움이 내려 앉은 듯한 머릿결이라는 표현이 걸맞은 머리 모양입니다. 물론 나무조각상을 의미하진 않습니다.	
ITEM_20180327_000149	鸡冠头饰(女)	코카트리스 헤드(여)	
ITEM_20180327_000150	长捲髮	롱 웨이브 펌	
ITEM_20180327_000151	編辮馬尾	브레이드 포니테일	
ITEM_20180327_000152	自然捲髮	내추럴 웨이브	
ITEM_20180327_000153	贵族捲烫髮	노블 웨이브 펌	
ITEM_20180327_000154	缎带双包头	리본장식 더블 번	
ITEM_20180327_000155	不对称俐落短髮	비대칭 블렌드컷	
ITEM_20180327_000156	盘髮	업스타일 헤어	
ITEM_20180327_000157	使用朴素的绳子将头髮头往上绑的髮型，听说是绑法是从女神那裡流传下来的。	간단한 끈 등으로 묶어 올린 머리모양으로, 여신의 머리모양으로부터 유래하였다는 설이 있습니다.	
ITEM_20180327_000158	蓬鬆马尾	내추럴 포니테일	
ITEM_20180327_000159	奇金捲毛狗头套(女)	치킨 푸들 헤드(여)	
ITEM_20180327_000160	燕尾服猫咪头套(女)	턱시도 냥이 헤드(여)	
ITEM_20180327_000161	波波小狮王头套(女)	포포리온 헤드(여)	
ITEM_20180327_000162	企鹅头套(女)	펭귄 헤드(여)	
ITEM_20180327_000163	粉红小花怪头套(女)	하나밍 헤드(여)	
ITEM_20180327_000164	凯帕头套(女)	케파 헤드(여)	
ITEM_20180327_000165	黄色隐形眼镜	노란색 렌즈	
ITEM_20180327_000166	隐形眼镜	렌즈	
ITEM_20180327_000167	可以变更眼睛颜色的有色隐形眼镜，点击右键配戴，眼睛颜色就会改变。	눈의 색상을 변경할 수 있는 컬러 콘텍트 렌즈입니다. 우클릭으로 착용하면 색상이 변경됩니다.	
ITEM_20180327_000168	紫罗兰隐形眼镜	바이올렛 렌즈	
ITEM_20180327_000169	绯红隐形眼镜	크림슨 렌즈	
ITEM_20180327_000170	黑色隐形眼镜	블랙 렌즈	
ITEM_20180327_000171	粉红爱心隐形眼镜	핑크 하트 렌즈	
ITEM_20180327_000172	可以变更眼睛颜色和图案的有色隐形眼镜，点击右键配戴，眼睛颜色就会改变。	눈의 색상과 모양을 변경할 수 있는 컬러 콘텍트 렌즈입니다. 우클릭으로 착용하면 색상이 변경됩니다.	
ITEM_20180327_000173	闪亮隐形眼镜	반짝이 렌즈	
ITEM_20180327_000174	灰色隐形眼镜	그레이 렌즈	
ITEM_20180327_000175	橘色隐形眼镜	오렌지색 렌즈	
ITEM_20180327_000176	褐色隐形眼镜	브라운 렌즈	
ITEM_20180327_000177	松糕头盔套装	송편 헬멧 코스튬	
ITEM_20180327_000178	丰饶的中秋节松糕。	풍성한 한가위의 송편 입니다.	
ITEM_20180327_000179	黄金财犬玩偶头套	복실복실 황금개 헬멧 코스튬	
ITEM_20180327_000180	黄金财犬玩偶头套，点击右键使用即可改变外观，不能使用染色药。	복실복실 황금개 헬멧 코스튬입니다. 우클릭으로 착용하면 외형이 변경됩니다. 염색약의 색상이 적용되지 않습니다.	
ITEM_20180327_000181	24K金财犬玩偶头套	24K 금괴 멍멍 헬멧 코스튬	
ITEM_20180327_000182	24K金财犬玩偶头套，点击右键使用即可改变外观，不能使用染色药。	24K 금괴 멍멍 헬멧 코스튬입니다. 우클릭으로 착용하면 외형이 변경됩니다. 염색약의 색상이 적용되지 않습니다.	
ITEM_20180327_000183	金刚天狗武士头盔	금강불개 무사 헬멧 코스튬	
ITEM_20180327_000184	金刚天狗头盔，点击右键使用即可改变外观，不能使用染色药。	금강불개 무사 헬멧 코스튬 입니다. 우클릭으로 착용하면 외형이 변경됩니다. 염색약의 색상이 적용되지 않습니다.	
ITEM_20180327_000185	无_weapon	없음_weapon	
ITEM_20180327_000186	老旧短剑	오래된 글라디우스	
ITEM_20180327_000187	单手剑[斩击]	한손검[베기]	
ITEM_20180327_000188	短剑是王国士兵的基本武器之一，在民间也被广泛使用。	글라디우스는 왕국 병사의 기본 무장 중 하나로 민간에서도 널리 사용됩니다.	
ITEM_20180327_000189	短剑	글라디우스	
ITEM_20180327_000190	性能比军用剑还要好。	군용에 비해 성능 향상의 여지를 두고 제조됩니다.	
ITEM_20180327_000191	简陋偃月刀	크루드 폴쳔	
ITEM_20180327_000192	斩击性能优越的剑。	베기 성능이 우수한 검입니다. 	
ITEM_20180327_000193	简陋卡斯卡拉剑	크루드 카스카라	
ITEM_20180327_000194	制造容易，冒险家们初次换剑时会经常选择。	제조가 쉬워서 모험가들이 처음 검을 바꿀 때 많이 선택합니다.	
ITEM_20180327_000195	五指剑	친퀘데아	
ITEM_20180327_000196	如果想要更重、更强的剑，建议就是这一把。	더 무겁고 더 강한 검을 원한다면 권장합니다.	
ITEM_20180327_000197	军刀	사브르	
ITEM_20180327_000198	骑兵们的基本武装，拥有适合斩击的构造。有剑柄，也有保护手的效果。	기병들의 기본 무장이며, 베기에 적합한 구조를 지녔습니다. 검병이 있어 손을 보호하는 효과도 있습니다.	
ITEM_20180327_000199	弯刀	샴시르	
ITEM_20180327_000200	很弯曲像新月的剑刃，在斩击上很有威力。	크게 구부러진 초승달 검날이 베기에 위력적입니다.	
ITEM_20180327_000201	单刃刀	시미터	
ITEM_20180327_000202	重量有一点重，但是在斩击上具有相对的威力。	무게는 약간 부담스럽지만, 베기에는 그만큼 위력적입니다.	
ITEM_20180327_000203	波形刀	크리스	
ITEM_20180327_000204	弯弯曲曲的剑刃可造成严重的伤害。是一把同时追求装饰和实用性的剑。	구불구불한 날이 피해를 크게 입힙니다. 장식과 실용성을 동시에 추구하는 검입니다.	
ITEM_20180327_000205	刺刀	스니커스니	
ITEM_20180327_000206	切割力非常优秀，经验丰富的剑客们都喜欢使用。	절단력이 무척 우수하여 경험많은 검사들도 애용합니다.	
ITEM_20180327_000207	老旧弯刀	오래된 샴시르	
ITEM_20180327_000208	老旧单刃刀	오래된 시미터	
ITEM_20180327_000209	士兵的短剑	병사의 글라디우스	
ITEM_20180327_000210	提供给正规兵的短剑。和民间制作短剑相比，性能更好。	정규병에게 지급됩니다. 민간제조 글라디우스에 비해 대체로 성능이 좋습니다. 	
ITEM_20180327_000211	村长的偃月刀	촌장의 폴쳔	
ITEM_20180327_000212	让人怀疑前主人的过去的物品。	이전 주인의 과거가 의심스러워지는 물건입니다.	
ITEM_20180327_000213	老旧卡斯卡拉剑	오래된 카스카라	
ITEM_20180327_000214	摩普拉长剑	모플라	
ITEM_20180327_000215	同时具备实用性和美感的剑。	실용성과 미적 감각을 모두 갖춘 검입니다.	
ITEM_20180327_000216	上级短剑	슈페리어 글라디우스	
ITEM_20180327_000217	偃月刀	폴쳔	
ITEM_20180327_000218	上级偃月刀	슈페리어 폴쳔	
ITEM_20180327_000219	卡斯卡拉剑	카스카라	
ITEM_20180327_000220	上级五指剑	슈페리어 친퀘데아	
ITEM_20180327_000221	上级军刀	슈페리어 사브르	
ITEM_20180327_000222	上级弯刀	슈페리어 샴시르	
ITEM_20180327_000223	邓凯尔军刀	던켈 사브르	
ITEM_20180327_000224	邓凯尔刺刀	던켈 스니커스니	
ITEM_20180327_000225	邓凯尔偃月刀	던켈 폴쳔	
ITEM_20180327_000226	邓凯尔卡斯卡拉剑	던켈 카스카라	
ITEM_20180327_000227	邓凯尔五指剑	던켈 친퀘데아	
ITEM_20180327_000228	邓凯尔弯刀	던켈 샴시르	
ITEM_20180327_000229	小柄	코주카	
ITEM_20180327_000230	坚硬的刀刃给使用者展现了剑之路。	굳건한 날이 사용자에게 검의 길을 보여주는 듯합니다. 	
ITEM_20180327_000231	阔刃弯刀	바들레르	
ITEM_20180327_000232	隔开你和敌人是这把剑真正的效用。	당신과 적 사이를 갈라놓는 것이 이 검의 진정한 효용입니다. 	
ITEM_20180327_000233	赛伊夫剑	사이프	
ITEM_20180327_000234	从袋子可以感受到熟悉的粗糙感，从剑刃可以感受到残酷无情，优秀的使用者一般只会体会到前者。	자루에서 익숙한 거칠음을, 날에서 차가운 잔인함을 느낄 수 있습니다. 훌륭한 사용자는 보통 전자만을 체험합니다.	
ITEM_20180327_000235	克里希马德礼剑	콜리슈마르드	
ITEM_20180327_000236	这把剑反应那些就算死亡也不会把剑放开的剑士们之斗魂。	죽어서도 검을 떨구지 않고자 하는 검사들의 투혼이 반영된 검입니다.	
ITEM_20180327_000237	菲兰奇剑	피란기	
ITEM_20180327_000238	剑头也可以刺，但是不需要特意去尝试。	폼멜로도 찌를 수 있지만, 일부러 시도할 필요는 없습니다. 	
ITEM_20180327_000239	射击卡特短剑	쏜 커터	
ITEM_20180327_000240	就算起源是在骑乘型战斗，但是受到环境的影响比想像中的还要少。	설령 기원이 탑승형 전투에 있어도 생각보다는 환경에 영향을 덜 받습니다. 	
ITEM_20180327_000241	黛米温剑	데미온소드	
ITEM_20180327_000242	和其具有的威力无关，当不依靠魔力就是一把平凡之剑，当然若是有人小看这把平凡之剑所拥有的威力，受到此剑威胁的可能性很大。	지닌 바 위력에 상관없이 마력에 의지하지 않는 것은 평범한 검입니다. 물론 평범한 검이 지닌 위력을 무시하는 사람은 이 검에 변을 당할 가능성이 높습니다.	
ITEM_20180327_000243	约鲁基斯阔刃弯刀	요르기스 바들레르	
ITEM_20180327_000244	祈求这把剑常在你和敌人之间。	적과 당신 사이에 이 검이 항상 있기를 기원합니다.	
ITEM_20180327_000245	柯培伦之剑	코페론 소드	
ITEM_20180327_000246	上级柯培伦之剑	슈페리어 코페론 소드	
ITEM_20180327_000247	沙耶	사야	
ITEM_20180327_000248	 -  怒斩技能等级 {img green_up_arrow 16 16}10增加	 - 배쉬 스킬 레벨 {img green_up_arrow 16 16}10 증가	
ITEM_20180327_000249	如果玩家持有此武器，会成为bug制裁对象，总之这武器是不能存在的武器。	이 무기를 유저가 소유하게 되면, 버그제재 대상이 되게 됩니다. 뭐니뭐니해도 이 무기는 존재하면 안되니까요.	
