INTL_20160512_000001	副本、任務追加進場1次	인던,미션 1회 추가입장	
INTL_20160512_000012	右クリックで使用すると、アイテムを獲得できます。{nl} - 160 TP{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 160 TP{nl}	
INTL_20160512_000013	使用すると50TPを獲得します。使用してキャラクターインベントリから受け取ると、キャンセルできません。	사용 시 50 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.	
INTL_20160512_000014	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 10個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引30回可能{nl} - ミッション、ダンジョン1回追加入場	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160512_000015	右クリックで使用すると、サーバー内の全キャラクターに使用時点から60日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 10個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引60回可能{nl} - ミッション、ダンジョン1回追加入場	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20160512_000016	魔法賦予卷軸10個寶箱	마법 부여 스크롤 10개 상자	
INTL_20160512_000017	使用時，獲得魔法賦予卷軸10個。點擊滑鼠右鍵使用。	사용 시 마법 부여 스크롤 10개를 획득합니다. 마우스 우클릭으로 사용합니다.	
INTL_20160512_000018	擴音器10個寶箱	확성기 10개 상자	
INTL_20160512_000019	使用時可獲得擴音器10個。點擊滑鼠右鍵使用。	사용 시 확성기 10개를 획득합니다. 마우스 우클릭으로 사용합니다.	
INTL_20160512_000020	使用すると455TPを獲得します。	사용 시 455 TP를 획득합니다.	
INTL_20160512_000021	使用すると266TPを獲得します。	사용 시 266 TP를 획득합니다.	
INTL_20160512_000022	使用すると112TPを獲得します。	사용 시 112 TP를 획득합니다.	
INTL_20160512_000023	右クリックで使用すると、アイテムを獲得できます。{nl} - 190TP{nl} - トークン - プレゼント(15日){nl} - 高濃縮HP/SPポーション20個{nl} - ソウルクリスタル15個{nl} - メガホン15個{nl} - ワープスクロール15個{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 190 TP{nl} - 토큰 - 증정용 (15일){nl} - 고농축 HP/SP포션 20개{nl} - 소울크리스탈 15개{nl} - 확성기 15개{nl} - 워프주문서 15개{nl}	
INTL_20160512_000024	使用すると190TPを獲得します。	사용 시 190 TP를 획득합니다.	
INTL_20160512_000025	右クリックで使用すると、アイテムを獲得できます。{nl} - トークン (30日){nl} - 魔法付与スクロール X 4{nl} - インスタンスダンジョン入場回数初期化券 X 5{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰 (30일){nl} - 마법 부여 스크롤 X 4{nl} - 인던 입장 횟수 초기화권 X 5{nl}	
INTL_20160512_000026	ホグラン交換券	호글란 교환권	
INTL_20160512_000027	コンパニオン商店でホグランと交換できます。	컴패니언 상점에서 호글란으로 교환할 수 있습니다.	
INTL_20160512_000028	攻撃力#{CaptionRatio}#%アップ{nl}特性追加ダメージ#{CaptionRatio2}#{nl}持続時間10秒	공격력 #{CaptionRatio}#% 증가{nl}특성 추가 대미지 #{CaptionRatio2}#{nl}지속시간 10초	
INTL_20160512_000029	VIP 30天	토큰:30일	
INTL_20160722_000030	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。{nl}[トークン効果]{nl} - 特性スキル即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 10個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 個人取引回数 30回{nl} - ミッション、ダンジョン1回追加入場	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160722_000031	右クリックで使用すると、サーバー内の全キャラクターに使用時点から60日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 10個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引 60回可能{nl} - ミッション、ダンジョン1回追加入場	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 1회 추가입장	INTL_20160512_000006	右クリックで使用すると、サーバー内の全キャラクターに使用時点から60日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 10個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +20%アップ{nl}(POPOショップ特典、経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引60回可能	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160722_000032	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 10個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引 30回可能{nl} - ミッション、ダンジョン1回追加入場	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장	INTL_20160512_000014	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 10個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引30回可能{nl} - ミッション、ダンジョン1回追加入場	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160722_000033	右クリックで使用すると、サーバー内の全キャラクターに使用時点から60日間特典が適用されます。{nl}[トークン効果]{nl} - 特性スキル即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 10個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - ミッション、ダンジョン1回追加入場	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 미션,던전 추가 1회 추가입장	
INTL_20161104_000034	マーケット販売シルバー代金ディレイ24時間	마켓 판매 실버대금 딜레이 24시간.	
INTL_20161104_000035	トークン専用販売シルバー代金ディレイ1時間	토큰전용 판매실버대금 1시간.	
INTL_20161107_000036	ベレー帽	베레모	
INTL_20161124_000037	ポータル	포 탈	
INTL_20161201_000038	VIP使用者不受上/下限價格影響。	토큰 사용자는 상/하안가에 영향을 받지 않는다.	
INTL_20170201_000039	ChatServer へ MemoryDump txtファイル保存の可否。1なら使用。	ChatServer에 MemoryDump txt 파일 저장 여부. 1이면 사용	
INTL_20170524_000040	警備隊長の青帽子	푸른색 경비모	
INTL_20170524_000041	国内で治安業務を行う際、兵士たちが着用する帽子です。{nl}リサイクルショップでメダルと交換できます。	치안 업무를 담당하는 병사들이 근무시 착용하는 푸른색 모자입니다.{nl}리사이클샵에서 메달로 교환 가능합니다.	
INTL_20170524_000042	一粒一粒がキラキラと輝いているような新鮮なイクラをこぼれ落ちそうな程、詰め込みました。食べるときは注意が必要です。{nl}リサイクルショップでメダルと交換できます。	연어알을 한 입 깨물면 기름진 생선 향이 베어 나온다.{nl}리사이클샵에서 메달로 교환 가능합니다.	
INTL_20170601_000043	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - 最大バフ適用数増加{nl} - 個人取引30回可能	오른쪽 클릭으로 사용하면 서버의 모든 캐릭터에게 사용 시점부터 30 일간 혜택이 적용됩니다. 캐릭터 정보 창에서 남은 시간을 확인할 수 있습니다. {nl} 토큰 효과] {nl} - 특성 즉시 수련 가능 {nl} - 시장 판매 수수료 할인 (30 % {img white_right_arrow 16 16} 10 %) {nl} - 시장 판매 등록 상품 수 10 개 {nl} - 마켓에서 / 하한가 관계없이 아이템 등록 가능 {nl} - 마켓 수익금 즉시 수취 {nl} - 캐릭터 이동 속도 +3 업 {nl} - 몬스터 사냥시 경험치 + 30 % 증가 {nl} (각종 경험치 보너스 효과와 중복 가능) {nl} - 팀 창고 이용 가능 {nl} - 프리미엄 제스처 사용 가능 {nl} - 최대 버프 적용 수 증가 {nl} - 개인 거래 30 회 가능	INTL_20160722_000030	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。{nl}[トークン効果]{nl} - 特性スキル即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 10個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 個人取引回数 30回{nl} - ミッション、ダンジョン1回追加入場	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20170622_000044	可以很快速地烤麵包的工具。{nl} 可以到回收商店用代幣交換。	쉽게 빠르게 빵을 굽는 도구입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.	
INTL_20170622_000045	貝殻でできた髪飾り。暑い時期にはひんやりとしていい感じです。{nl}リサイクルショップでメダルと交換できます。	조개 껍질로 제작된 머리 장식입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.	
INTL_20170622_000046	雕刻師所製作的可以戴的世界樹雕刻頭飾。{nl} 可以到回收商店用代幣交換。	딥디르비가 만든 착용 가능한 세계수 조각 머리 장식입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.	
INTL_20170626_000047	うさぎ好きたちは、丸まったうさ耳と伸びたうさ耳のどっちが可愛いかについて、夜な夜な熱く語ったりしています。{nl}リサイクルショップでメダルと交換できます。	호사가들은 펴진 토끼귀와 굽어있는 토끼귀중에 어느것이 더 귀여운지 논쟁을 벌이곤 합니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.	
INTL_20170831_000048	ペンギンのヘアコスチュームです。この愛らしさに言葉は必要ありません。	펭귄 장식입니다. 따로 무슨 말이 더 필요할까요. 누가 봐도 귀여울 것입니다.	
INTL_20170908_000049	現在の地域で戦闘不能になると、所持中のジェム、カード、シルバー等、一部アイテムが消滅する場合があります。	현재 지역에서 전투 불능 시, 소지 중인 젬, 카드, 실버 등의 일부를 유실할 수 있습니다.	
INTL_20170919_000050	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - 最大バフ適用数増加{nl} - 個人取引30回可能{nl} - サルラス修道女院ミッション完了報酬 +1	오른쪽 클릭으로 사용하면 서버의 모든 캐릭터에게 사용 시점부터 30 일간 혜택이 적용됩니다. 캐릭터 정보 창에서 남은 시간을 확인할 수 있습니다. {nl} 토큰 효과] {nl} - 특성 즉시 수련 가능 {nl} - 시장 판매 수수료 할인 (30 % {img white_right_arrow 16 16} 10 %) {nl} - 시장 판매 등록 상품 수 10 개 {nl} - 마켓에서 / 하한가 관계없이 아이템 등록 가능 {nl} - 마켓 수익금 즉시 수취 {nl} - 캐릭터 이동 속도 +3 업 {nl} - 몬스터 사냥시 경험치 + 30 % 증가 {nl} (각종 경험치 보너스 효과와 중복 가능) {nl} - 팀 창고 이용 가능 {nl} - 프리미엄 제스처 사용 가능 {nl} - 최대 버프 적용 수 증가 {nl} - 개인 거래 30 회 가능 {nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20170601_000043	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - 最大バフ適用数増加{nl} - 個人取引30回可能	오른쪽 클릭으로 사용하면 서버의 모든 캐릭터에게 사용 시점부터 30 일간 혜택이 적용됩니다. 캐릭터 정보 창에서 남은 시간을 확인할 수 있습니다. {nl} 토큰 효과] {nl} - 특성 즉시 수련 가능 {nl} - 시장 판매 수수료 할인 (30 % {img white_right_arrow 16 16} 10 %) {nl} - 시장 판매 등록 상품 수 10 개 {nl} - 마켓에서 / 하한가 관계없이 아이템 등록 가능 {nl} - 마켓 수익금 즉시 수취 {nl} - 캐릭터 이동 속도 +3 업 {nl} - 몬스터 사냥시 경험치 + 30 % 증가 {nl} (각종 경험치 보너스 효과와 중복 가능) {nl} - 팀 창고 이용 가능 {nl} - 프리미엄 제스처 사용 가능 {nl} - 최대 버프 적용 수 증가 {nl} - 개인 거래 30 회 가능	
INTL_20171130_000051	冒険日誌1～10位ランキング報酬(1日)	모험일지 1위~10위 랭킹 보상 상자 (1일)	
INTL_20171130_000052	冒険日誌11～100位ランキング報酬(1日)	모험일지 11위~100위 랭킹 보상 상자 (1일)	
INTL_20171130_000053	右クリックで使用します。{nl} - コンパニオン交換券×7枚{nl} - x4経験の書×3個{nl} - 特性ポイント1,000(冒険日誌報酬)×1個{nl} - インスタンスダンジョン倍数トークン×3個{nl} - 300,000シルバー	마우스 우클릭으로 사용할 수 있습니다. 사용시 상자의 내용물을 획득할 수 있습니다.{nl} - 컴패니언 교환권 6장{nl} - x4 경험의 서 3개 {nl} - 특성 포인트 1,000(모험일지 보상) 1개 {nl} - 인스턴스 던전 배수 토큰 3개 {nl} - 실버 300,000 	
INTL_20171130_000054	冒険日誌101～200位ランキング報酬(1日)	모험일지 101위~200위 랭킹 보상 상자 (1일)	
INTL_20171130_000055	右クリックで使用します。{nl} - コンパニオン交換券×5枚{nl} - x4経験の書×2個{nl} - 特性ポイント500(冒険日誌報酬)×1個{nl} - インスタンスダンジョン倍数トークン×2個{nl} - 200,000シルバー	마우스 우클릭으로 사용할 수 있습니다. 사용시 상자의 내용물을 획득할 수 있습니다.{nl} - 컴패니언 교환권 5장{nl} - x4 경험의 서 2개 {nl} - 특성 포인트 500(모험일지 보상) 1개 {nl} - 인스턴스 던전 배수 토큰 2개 {nl} - 실버 200,000 	
INTL_20171130_000056	冒険日誌201～300位ランキング報酬(1日)	모험일지 201위~300위 랭킹 보상 상자 (1일)	
INTL_20171130_000057	右クリックで使用します。{nl} - コンパニオン交換券×4枚{nl} - x4経験の書×1個{nl} - 特性ポイント100(冒険日誌報酬)×3個{nl} - 100,000シルバー	마우스 우클릭으로 사용할 수 있습니다. 사용시 상자의 내용물을 획득할 수 있습니다.{nl} - 컴패니언 교환권 4장{nl} - x4 경험의 서 1개 {nl} - 특성 포인트 100(모험일지 보상) 3개 {nl} - 실버 100,000 	
INTL_20171130_000058	プレミアム魔法付与スクロールです。ヘアコスチュームに使用すると、ランダムにオプションが追加されます。 オプションは最大3個まで生成できます。着用している装備には使用できません。右クリックで使用できます。	프리미엄 마법 부여 스크롤입니다. {nl}헤어 코스튬에 사용 시 랜덤한 옵션이 추가됩니다. 옵션은 최대 3개까지 생성될 수 있습니다. 착용하고 있는 장비에는 사용할 수 없습니다. 마우스 우클릭으로 사용합니다.	
INTL_20171130_000059	希望する街を選択してください。{nl}選択した街に応じて獲得されるアイテムが異なります。{nl}（毎週水曜日にリセットされます。）	원하는 마을을 선택해주세요.{nl}이벤트 기간동안 선택한 마을에 따라 획득할 수 있는 아이템이 다릅니다.{nl}(매주 수요일 다른 마을로 변경 가능합니다.)	이벤트 알림판
INTL_20171215_000060	権力には責任が伴うものです。{nl}リサイクルショップでメダルと交換できます。	권력에는 항상 책임이 뒤따릅니다.{nl}리사이클샵에서 메달로 교환 가능합니다.	
INTL_20171215_000061	行進や特別な行事に参加する時にかぶる帽子です。{nl}リサイクルショップでメダルと交換できます。	행진을 하거나 특별한 행사에 참여할 때 사용되는 모자입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.	
INTL_20171215_000062	特定の動物に限って友好的になります。茶色い人と仲良くなりやすいです。{nl}リサイクルショップでメダルと交換できます。	특정 동물에게 우호적이 됩니다.{nl}리사이클샵에서 메달로 교환 가능합니다.	
