ITEM_20180327_000001	Empty_helmet	없음_helmet	
ITEM_20180327_000114	Upper-bind Two-block	어퍼바인드 투블럭	
ITEM_20180327_000115	Wearing this will change your hairstyle.	처음에는 복수를 맹세한 전사들의 머리 모양에서 기원했다고 합니다. 현대에 이르러서는 서약을 기려 맺는 일은 없고, 장식의 의미가 더 강합니다.	
ITEM_20180327_000116	Twoblock	투블럭	
ITEM_20180327_000117	Wearing this will change your hairstyle.	어퍼바인드 투 블럭에서 맹세의 의미가 사라지면서 자연스럽게 발생한 변형된 머리 모양입니다.	
ITEM_20180327_000118	Prince Waves	프린스 웨이브	
ITEM_20180327_000119	A hair cut favored by royal families in past days, this style boasts natural elegance in its soft waves.	예전 왕가의 자제들이 주로 하던 머리로, 자연스러운 우아함과 찰랑이는 머릿결을 자랑합니다.	
ITEM_20180327_000120	Medium Cut	미디엄 커트	
ITEM_20180327_000121	The nobles in the past adapt this hairstyle. It requires a special fluid to keep it like this.	과거 상류층들이 주로 하고 다녔던 머리모양으로, 유지하기 위해서는 여러가지 안료를 혼합한 특수한 액체로 고정하였다는 기록도 있을 정도입니다.	
ITEM_20180327_000122	Asymmetric Long Cut	비대칭 롱 컷	
ITEM_20180327_000123	Wearing this will change your hairstyle.	착용 시 헤어가 변경됩니다.	
ITEM_20180327_000124	Fried Chicken Poodle Head (Male)	치킨 푸들 헤드(남)	
ITEM_20180327_000125	Tuxedo Cat Head (Male)	턱시도 냥이 헤드(남)	
ITEM_20180327_000126	Popolion Head (Male)	포포리온 헤드(남)	
ITEM_20180327_000127	Penguin Head (Male)	펭귄 헤드(남)	
ITEM_20180327_000128	Hanaming Head (Male)	하나밍 헤드(남)	
ITEM_20180327_000129	Kepa Head (Male)	케파 헤드(남)	
ITEM_20180327_000130	Curvy Wave Twintail	볼륨웨이브 트윈테일	
ITEM_20180327_000131	Hairstyle [Female]	헤어[여성]	
ITEM_20180327_000132	According to some rumors, General Ramin was able to find the princess half buried in the ruins of the old capital thanks to this hairstyle.	소문에 의하면, 라민 장군이 폐도에서 이 머리 모양 덕분에 공주를 알아보고 절반쯤 파묻힌 공주를 구할 수 있었다고 합니다.	
ITEM_20180327_000133	Curvy Wave	볼륨웨이브	
ITEM_20180327_000134	This hairstyle has an inornate natural beauty about it. Much like the blessings of the goddesses.	꾸미지 않은 자연스러움이 멋지게 드러나는 머리 모양입니다. 마치 여신의 권능같다고나 할까요.	
ITEM_20180327_000135	蓬鬆長髮	롱 샤기	
ITEM_20180327_000136	濃密捲俏	볼륨 컬	
ITEM_20180327_000137	長馬尾辮子	롱 포니테일	
ITEM_20180327_000138	雙馬尾	트윈테일	
ITEM_20180327_000139	雷鬼辮子頭	레게포니테일	
ITEM_20180327_000140	雙包頭	더블 번	
ITEM_20180327_000141	層次長髮	롱 레이어드	
ITEM_20180327_000142	短雙馬尾	숏 트윈테일	
ITEM_20180327_000143	綁起來的長捲髮	묶은 롱 웨이브	
ITEM_20180327_000144	波浪型雙辮子	롱 웨이브 트윈테일	
ITEM_20180327_000145	Noble Long	노블 롱	
ITEM_20180327_000146	Originally a hairstyle for esteemed daughters attending the Royal Girl's School in the old capital, it has since been imitated by many women.	폐도에 있던 왕가의 영애들을 위한 여학교에서 시작된 머리 모양으로 이후 많은 여성들이 이를 따랐습니다.	
ITEM_20180327_000147	Short Cut Firm	숏 컷 펌	
ITEM_20180327_000148	A metaphor that best fits this hairstyle is that it's as if the sanctity of the Goddess Statue has descended upon one's hair. Not the wooden statue of course.	여신상의 성스러움이 내려 앉은 듯한 머릿결이라는 표현이 걸맞은 머리 모양입니다. 물론 나무조각상을 의미하진 않습니다.	
ITEM_20180327_000149	Cockatrice Head (Female)	코카트리스 헤드(여)	
ITEM_20180327_000150	Long-Wave Perm	롱 웨이브 펌	
ITEM_20180327_000151	編辮馬尾	브레이드 포니테일	
ITEM_20180327_000152	Natural Wave	내추럴 웨이브	
ITEM_20180327_000153	Noble Wave Perm	노블 웨이브 펌	
ITEM_20180327_000154	Ribbon-ornamented Double Buns	리본장식 더블 번	
ITEM_20180327_000155	Asymmetric Blend Cut	비대칭 블렌드컷	
ITEM_20180327_000156	Upstyle Hair	업스타일 헤어	
ITEM_20180327_000157	A hairstyle done with a simple string. It is said to be derived from a Goddess' hairstyle.	간단한 끈 등으로 묶어 올린 머리모양으로, 여신의 머리모양으로부터 유래하였다는 설이 있습니다.	
ITEM_20180327_000158	Natural Ponytail	내추럴 포니테일	
ITEM_20180327_000159	Fried Chicken Poodle Head (Female)	치킨 푸들 헤드(여)	
ITEM_20180327_000160	Tuxedo Cat Head (Female)	턱시도 냥이 헤드(여)	
ITEM_20180327_000161	Popolion Head (Female)	포포리온 헤드(여)	
ITEM_20180327_000162	Penguin Head (Female)	펭귄 헤드(여)	
ITEM_20180327_000163	Hanaming Head (Female)	하나밍 헤드(여)	
ITEM_20180327_000164	Kepa Head (Female)	케파 헤드(여)	
ITEM_20180327_000165	Yellow Contact Lenses	노란색 렌즈	
ITEM_20180327_000166	Contact Lenses	렌즈	
ITEM_20180327_000167	Colored contact lenses can alter the color of your eyes.	눈의 색상을 변경할 수 있는 컬러 콘텍트 렌즈입니다. 우클릭으로 착용하면 색상이 변경됩니다.	
ITEM_20180327_000168	Violet Contact Lenses	바이올렛 렌즈	
ITEM_20180327_000169	Crimson Contact Lenses	크림슨 렌즈	
ITEM_20180327_000170	Black Contact Lenses	블랙 렌즈	
ITEM_20180327_000171	Pink Heart Contact Lenses	핑크 하트 렌즈	
ITEM_20180327_000172	A pair of contact lenses that can change your eye color and shape.{nl}Right-click to use and change the appearance of your eyes.	눈의 색상과 모양을 변경할 수 있는 컬러 콘텍트 렌즈입니다. 우클릭으로 착용하면 색상이 변경됩니다.	
ITEM_20180327_000173	Shiny Contact Lenses	반짝이 렌즈	
ITEM_20180327_000174	Grey Contact Lenses	그레이 렌즈	
ITEM_20180327_000175	Orange Contact Lenses	오렌지색 렌즈	
ITEM_20180327_000176	Brown Contact Lenses	브라운 렌즈	
ITEM_20180327_000177	Sweet Dumpling Helmet Costume	송편 헬멧 코스튬	
ITEM_20180327_000178	Sweet Dumpling	풍성한 한가위의 송편 입니다.	
ITEM_20180327_000179	Golden Puppy Head	복실복실 황금개 헬멧 코스튬	
ITEM_20180327_000180	You need the head to fully transform into a lucky golden puppy! Right-click to use and change your appearance.	복실복실 황금개 헬멧 코스튬입니다. 우클릭으로 착용하면 외형이 변경됩니다. 염색약의 색상이 적용되지 않습니다.	
ITEM_20180327_000181	24K Gold Bar Pup Helmet	24K 금괴 멍멍 헬멧 코스튬	
ITEM_20180327_000182	Why stick to looking golden when you can BE gold? 24K, baby. Right-click to use and change your appearance.	24K 금괴 멍멍 헬멧 코스튬입니다. 우클릭으로 착용하면 외형이 변경됩니다. 염색약의 색상이 적용되지 않습니다.	
ITEM_20180327_000183	Golden Dog Warrior Helmet	금강불개 무사 헬멧 코스튬	
ITEM_20180327_000184	Wear to change the appearance of your head. Hair Dyes will not apply.	금강불개 무사 헬멧 코스튬 입니다. 우클릭으로 착용하면 외형이 변경됩니다. 염색약의 색상이 적용되지 않습니다.	
ITEM_20180327_000185	Empty_weapon	없음_weapon	
ITEM_20180327_000186	Old Gladius	오래된 글라디우스	
ITEM_20180327_000187	One-handed Sword [Slash]	한손검[베기]	
ITEM_20180327_000188	A standard weapon for the soldiers from the Royal Army. Also commonly carried by civilians.	글라디우스는 왕국 병사의 기본 무장 중 하나로 민간에서도 널리 사용됩니다.	
ITEM_20180327_000189	Gladius	글라디우스	
ITEM_20180327_000190	This weapon is an improved version of its military counterpart.	군용에 비해 성능 향상의 여지를 두고 제조됩니다.	
ITEM_20180327_000191	Crude Falchion	크루드 폴쳔	
ITEM_20180327_000192	This sword is exceptional for slashing.	베기 성능이 우수한 검입니다. 	
ITEM_20180327_000193	Crude Kaskara	크루드 카스카라	
ITEM_20180327_000194	Due to its ease in manufacturing, this sword is frequently chosen by adventurers as their first replacement for their training sword.	제조가 쉬워서 모험가들이 처음 검을 바꿀 때 많이 선택합니다.	
ITEM_20180327_000195	Cinquedea	친퀘데아	
ITEM_20180327_000196	Recommended for those who desire a heavier and stronger sword.	더 무겁고 더 강한 검을 원한다면 권장합니다.	
ITEM_20180327_000197	Sabre	사브르	
ITEM_20180327_000198	Primary weapon of the cavalry, optimized for slashing. The guard on the hilt helps protect the user's hand.	기병들의 기본 무장이며, 베기에 적합한 구조를 지녔습니다. 검병이 있어 손을 보호하는 효과도 있습니다.	
ITEM_20180327_000199	Shamshir	샴시르	
ITEM_20180327_000200	The blade's large crescent edge cuts with immense power.	크게 구부러진 초승달 검날이 베기에 위력적입니다.	
ITEM_20180327_000201	Scimitar	시미터	
ITEM_20180327_000202	Its heavy weight is compensated by its very powerful slash.	무게는 약간 부담스럽지만, 베기에는 그만큼 위력적입니다.	
ITEM_20180327_000203	Kris	크리스	
ITEM_20180327_000204	Its twisted edge amplifies the damage it inflicts. A sword that is both practical and ornamental.	구불구불한 날이 피해를 크게 입힙니다. 장식과 실용성을 동시에 추구하는 검입니다.	
ITEM_20180327_000205	Snickersnee	스니커스니	
ITEM_20180327_000206	Its extremely sharp blade makes it a favorite among even the most experienced swordsmen.	절단력이 무척 우수하여 경험많은 검사들도 애용합니다.	
ITEM_20180327_000207	Old Shamshir	오래된 샴시르	
ITEM_20180327_000208	Old Scimitar	오래된 시미터	
ITEM_20180327_000209	Soldier's Gladius	병사의 글라디우스	
ITEM_20180327_000210	A basic armament provided to full-time soldiers. Its overall quality is better than those sold in the market.	정규병에게 지급됩니다. 민간제조 글라디우스에 비해 대체로 성능이 좋습니다. 	
ITEM_20180327_000211	Mayor's Falchion	촌장의 폴쳔	
ITEM_20180327_000212	Looking at this weapon raises suspicions on its previous owner's past.	이전 주인의 과거가 의심스러워지는 물건입니다.	
ITEM_20180327_000213	Old Kaskara	오래된 카스카라	
ITEM_20180327_000214	Moplah	모플라	
ITEM_20180327_000215	This sword combines both practicality and aesthetics.	실용성과 미적 감각을 모두 갖춘 검입니다.	
ITEM_20180327_000216	Superior Gladius	슈페리어 글라디우스	
ITEM_20180327_000217	Falchion	폴쳔	
ITEM_20180327_000218	Superior Falchion	슈페리어 폴쳔	
ITEM_20180327_000219	Kaskara	카스카라	
ITEM_20180327_000220	Superior Cinquedea	슈페리어 친퀘데아	
ITEM_20180327_000221	Superior Sabre	슈페리어 사브르	
ITEM_20180327_000222	Superior Shamshir	슈페리어 샴시르	
ITEM_20180327_000223	Dunkel Sabre	던켈 사브르	
ITEM_20180327_000224	Dunkel Snickersnee	던켈 스니커스니	
ITEM_20180327_000225	Dunkel Falchion	던켈 폴쳔	
ITEM_20180327_000226	Dunkel Kaskara	던켈 카스카라	
ITEM_20180327_000227	Dunkel Cinquedea	던켈 친퀘데아	
ITEM_20180327_000228	Dunkel Shamshir	던켈 샴시르	
ITEM_20180327_000229	Kozuka	코주카	
ITEM_20180327_000230	It's as if the powerful blade shows its user the way of the sword.	굳건한 날이 사용자에게 검의 길을 보여주는 듯합니다. 	
ITEM_20180327_000231	Badelaire	바들레르	
ITEM_20180327_000232	The true power of this blade is its ability to cleave everything between you and your enemy.	당신과 적 사이를 갈라놓는 것이 이 검의 진정한 효용입니다. 	
ITEM_20180327_000233	Saif	사이프	
ITEM_20180327_000234	You can feel the experienced tough from the handle, and a cold cruelty from blade. Great users only experience the first case.	자루에서 익숙한 거칠음을, 날에서 차가운 잔인함을 느낄 수 있습니다. 훌륭한 사용자는 보통 전자만을 체험합니다.	
ITEM_20180327_000235	Colichemarde	콜리슈마르드	
ITEM_20180327_000236	The souls of the swordsmen fighting to death with sword in hand is reflected in this blade.	죽어서도 검을 떨구지 않고자 하는 검사들의 투혼이 반영된 검입니다.	
ITEM_20180327_000237	Firangi	피란기	
ITEM_20180327_000238	The pommel can be used to stab as well but there's no need to try it.	폼멜로도 찌를 수 있지만, 일부러 시도할 필요는 없습니다. 	
ITEM_20180327_000239	Thorn Cutter	쏜 커터	
ITEM_20180327_000240	It seems less vulnerable to the environment even the origin is a ridding battle.	설령 기원이 탑승형 전투에 있어도 생각보다는 환경에 영향을 덜 받습니다. 	
ITEM_20180327_000241	Demion Sword	데미온소드	
ITEM_20180327_000242	A normal sword regardless of the power with a magic. Of course, If there are people who ignore the power of this sword, they can be damaged by this sword.	지닌 바 위력에 상관없이 마력에 의지하지 않는 것은 평범한 검입니다. 물론 평범한 검이 지닌 위력을 무시하는 사람은 이 검에 변을 당할 가능성이 높습니다.	
ITEM_20180327_000243	Yorgis Badelaire	요르기스 바들레르	
ITEM_20180327_000244	Hope always this sword exists between you and enemy.	적과 당신 사이에 이 검이 항상 있기를 기원합니다.	
ITEM_20180327_000245	Koperon Sword	코페론 소드	
ITEM_20180327_000246	Superior Koperon Sword	슈페리어 코페론 소드	
ITEM_20180327_000247	Saja	사야	
ITEM_20180327_000248	 - [Backstab] skill level {img green_up_arrow 16 16}10	 - 배쉬 스킬 레벨 {img green_up_arrow 16 16}10 증가	
ITEM_20180327_000249	Regular users will be subject to restrictions should this weapon be found in their possession. This weapon is never supposed to exist, you see.	이 무기를 유저가 소유하게 되면, 버그제재 대상이 되게 됩니다. 뭐니뭐니해도 이 무기는 존재하면 안되니까요.	
ITEM_20180327_000250	Standard Sword	기준검	
ITEM_20180327_000251	(Old) Replica Migantis Sword	(구)레플리카 미간티스 소드	
ITEM_20180327_000252	An imitation of a Migantis piece of equipment.	미간티스 장비를 따라 한 모작 장비입니다.	
ITEM_20180327_000253	(Old) Replica Pevordimas Sword	(구)레플리카 페버디마스 소드	
ITEM_20180327_000254	An imitation of a Pevordimas piece of equipment.	페버디마스 장비를 따라 한 모작 장비입니다.	
ITEM_20180327_000255	Panto Sword	판토 소드	
ITEM_20180327_000256	A crude sword used by the Panto. You could craft a better version yourself.	판토들이 사용하지만 직접 제작하면 더 나은 판토 소드를 만들 수 있습니다.	
ITEM_20180327_000257	Flonas Sabre	플로나스 사브르	
ITEM_20180327_000258	Some say this weapon unleashes the grudge that plants hold against beasts.	어떤 사람들은 이 검에 식물이 동물에게 품은 감정이 서려있다고 합니다.	
ITEM_20180327_000259	Golden Falchion	골든 폴쳔	
ITEM_20180327_000260	Possibly due to gold's correlation with fortune, the Golden Falchion bestows its wielder with good luck during battle. Of course, it severely harms its foes.	황금이 행운의 상징인 때문인지 골든 폴쳔은 전투에서 행운을 선사하곤 합니다. 물론 적에게는 심한 피해가 되겠지요.	
